CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
61,61,0,1,55,1,0,0.0025,400
2,2,0,1,125,1,0,0.00193423597678917,517
74,72,2,2,50,1,0,0,216
414,314,100,22,2,6,1,0.0122549019607843,408
9,8,1,2,162,0,0,0.0180722891566265,332
97,80,17,12,7,5,0,0.00526315789473684,570
2,2,0,2,175,0,0,0.00460829493087558,217
12,5,7,1,62,0,0,0,122
50,36,14,9,10,4,0,0,672
4,2,2,2,60,0,0,0.0117647058823529,85
26,17,9,6,25,4,0,0.00627615062761506,478
144,95,49,13,8,7,0,0.000734214390602056,1362
42,36,6,4,58,3,0,0.00520833333333333,576
3,1,2,2,62,0,0,0,94
65,47,18,4,58,4,0,0.00113122171945701,884
8,5,3,3,58,3,0,0,112
22,14,8,4,55,1,0,0.00515463917525773,194
30,21,9,3,12,2,0,0.00333333333333333,300
2,1,1,1,56,1,0,0,37
103,74,29,7,12,6,0,0.00470957613814757,637
8,4,4,2,56,2,0,0,40
3,2,1,2,58,2,0,0.00148698884758364,1345
28,12,16,9,7,3,0,0.00392156862745098,255
1,1,0,1,55,0,0,0,37
141,71,70,9,9,2,0,0.00313479623824451,638
16,8,8,2,110,0,0,0,8413
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,1,56,0,0,0,0
0,0,0,2,75,0,0,0,0
44,6,38,2,12,1,0,0,154
12,4,8,1,166,0,0,0,80
9,5,4,1,167,0,0,0.00782778864970646,511
181,144,37,12,1,6,0,0.00544015825914936,2022
1,1,0,1,1,1,0,0,306
3,2,1,1,141,1,0,0.00485436893203883,206
0,0,0,1,75,0,0,0,0
5,5,0,1,76,0,0,0,137
27,26,1,1,0,0,0,0.00081366965012205,1229
33,20,13,1,124,0,0,0,41
462,252,210,4,45,2,0,0,245
3,2,1,1,47,0,0,0,39
10,6,4,3,63,2,0,0,677
1074,843,231,68,0,30,1,0.00999524036173251,2101
79,58,21,22,25,7,1,0.0141843971631206,141
1173,989,184,37,0,14,1,0.0111482720178372,897
273,226,47,21,0,2,0,0.0274509803921569,255
1275,721,554,24,0,4,0,0.00384615384615385,260
149,97,52,18,0,3,0,0.0126582278481013,79
51,29,22,7,47,0,0,0,38
19,13,6,7,7,2,0,0.0263157894736842,76
154,117,37,21,0,4,1,0.0198019801980198,202
713,558,155,27,2,14,0,0.00420168067226891,1190
0,0,0,1,44,0,0,0.0833333333333333,12
308,279,29,5,1,0,0,0.00467289719626168,642
34,26,8,7,1,1,0,0,101
1813,1421,392,55,1,21,1,0.00598802395209581,2004
8,4,4,1,110,0,0,0,8413
6,3,3,1,64,1,1,0,55
48,29,19,2,25,2,2,0,66
13,8,5,1,25,1,1,0,46
401,278,123,4,25,4,4,0,1156
0,0,0,1,44,1,1,0,515
57,40,17,2,25,2,2,0,150
13,8,5,2,64,2,2,0,176
2,1,1,1,124,1,1,0,70
3,0,3,1,124,1,1,0,98
82,78,4,4,9,4,3,0,445
33,33,0,2,25,2,2,0,1644
28,24,4,2,44,2,2,0,429
2,1,1,2,25,2,2,0,91
104,59,45,5,9,5,3,0,507
26,16,10,3,64,3,2,0,141
24,20,4,3,9,3,2,0,120
2,1,1,1,124,1,1,0,280
3,1,2,1,124,1,1,0,472
2,1,1,1,124,1,1,0,103
0,0,0,1,124,1,1,0,0
0,0,0,1,44,1,1,0,238
7,5,2,2,106,2,1,0,222
25,12,13,3,44,3,3,0,230
158,73,85,3,44,3,3,0,1055
7,6,1,1,106,1,0,0,156
19,11,8,1,124,1,1,0,371
1,1,0,1,124,1,1,0,84
22,16,6,2,93,2,2,0,210
9,9,0,1,124,1,1,0,284
69,41,28,1,25,1,1,0,206
42,39,3,2,44,2,2,0,409
4,2,2,2,44,2,2,0,292
5,4,1,1,124,1,1,0,68
843,460,383,2,93,2,1,0.00140646976090014,711
2,1,1,1,124,1,1,0,902
107,26,81,2,64,2,2,0,175
22,11,11,1,124,1,1,0,478
245,169,76,4,25,4,4,0,428
60,28,32,2,109,2,2,0,106
4,2,2,2,109,2,2,0,336
29,20,9,3,25,3,3,0,291
44,39,5,2,64,2,2,0,456
7,6,1,2,106,2,1,0,380
2,1,1,1,106,1,0,0,707
25,10,15,2,64,2,2,0,361
11,3,8,2,106,2,1,0,406
105,96,9,2,109,2,2,0,111
3,2,1,1,124,1,1,0,358
6,5,1,1,124,1,1,0,33
23,11,12,2,44,2,2,0,81
0,0,0,1,64,1,1,0,83
357,185,172,6,25,6,6,0,750
0,0,0,1,124,1,1,0,30
25,3,22,1,64,1,1,0,344
153,89,64,3,25,3,3,0,1062
119,54,65,5,25,5,4,0,207
25,15,10,2,44,2,2,0,185
5,5,0,2,109,2,2,0,84
0,0,0,1,124,1,1,0,73
3,0,3,1,124,1,1,0,58
6,1,5,1,124,1,1,0,99
14,7,7,1,109,1,1,0,122
73,39,34,7,25,7,6,0,1050
11,7,4,2,64,2,2,0,154
0,0,0,1,124,1,1,0,0
0,0,0,1,124,1,1,0,0
2,1,1,2,44,2,2,0,80
130,96,34,4,25,4,4,0,349
18,7,11,2,25,2,2,0,117
14,7,7,3,25,3,3,0,158
1,1,0,1,44,0,0,0,132
40,33,7,4,9,4,3,0,134
210,161,49,2,93,2,2,0,248
94,62,32,5,25,5,5,0,649
87,71,16,3,44,3,3,0,183
143,38,105,3,44,3,3,0,608
9,3,6,2,93,2,2,0,206
41,36,5,3,25,3,3,0,133
5,5,0,2,64,2,2,0,88
21,13,8,1,44,1,1,0,58
120,75,45,3,25,3,3,0,287
39,30,9,2,64,2,2,0,263
21,10,11,1,44,1,1,0,548
2,1,1,1,124,1,1,0,185
8,4,4,2,44,2,2,0,531
83,41,42,3,64,3,2,0,0
20,12,8,3,44,3,3,0,248
9,4,5,1,44,1,1,0,135
0,0,0,1,64,1,1,0,0
0,0,0,1,64,1,1,0,0
0,0,0,1,64,1,1,0,0
4,2,2,1,64,1,1,0,77
8,7,1,2,9,2,1,0,83
268,130,138,4,25,4,4,0,398
4,2,2,1,124,1,1,0,353
0,0,0,1,109,1,1,0,0
0,0,0,1,106,1,0,0,39
7,7,0,1,124,1,1,0,293
279,271,8,6,25,6,5,0,0
23,4,19,2,44,2,2,0,103
2,1,1,1,124,1,1,0,51
42,21,21,3,64,3,3,0,316
10,8,2,2,44,2,2,0,0
60,24,36,3,44,3,3,0,331
8,5,3,1,124,1,1,0,114
0,0,0,1,124,1,1,0,0
1,1,0,1,124,1,1,0,37
2,2,0,2,64,2,2,0,56
315,61,254,4,1,4,3,0,607
325,89,236,3,25,3,3,0,429
2,0,2,1,124,1,1,0,107
49,46,3,3,25,3,3,0,313
2,2,0,1,124,1,1,0,56
65,51,14,6,25,6,5,0,450
111,59,52,3,44,3,3,0,331
2,2,0,1,124,1,1,0,53
2,1,1,1,44,1,1,0,167
2,0,2,1,124,1,1,0,197
96,66,30,3,44,3,3,0,473
80,67,13,3,44,3,3,0,472
5,3,2,2,64,2,2,0,50
148,121,27,5,25,5,5,0,456
19,10,9,4,25,4,4,0,222
62,46,16,3,7,3,2,0,121
13,13,0,2,64,2,2,0,176
13,10,3,2,25,2,2,0,113
73,43,30,5,25,5,5,0,359
52,34,18,2,25,2,2,0,95
84,57,27,4,25,4,4,0,508
4,2,2,1,93,1,1,0,156
46,38,8,3,25,3,3,0,363
39,21,18,2,44,2,2,0,342
0,0,0,1,109,1,1,0,115
2,1,1,1,44,1,1,0,178
40,26,14,5,25,5,5,0,208
0,0,0,1,124,1,1,0,41
43,41,2,1,124,1,1,0,112
4,3,1,1,124,1,1,0,159
5,5,0,1,124,1,1,0,269
40,14,26,1,124,1,1,0,665
5,5,0,1,64,1,1,0,98
250,148,102,7,25,7,6,0,958
223,203,20,4,25,4,4,0,324
