CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
4,2,2,1,174,0,0,0.00454545454545455,220
4,2,2,1,174,0,0,0,328
4,2,2,1,174,0,0,0,239
4,2,2,1,174,0,0,0,398
4,2,2,1,174,0,0,0,939
4,2,2,1,174,0,0,0,986
8,4,4,2,167,1,0,0.001230012300123,813
4,2,2,1,174,0,0,0,266
4,2,2,1,174,0,0,0,73
4,2,2,1,174,0,0,0,39
4,2,2,1,174,0,0,0,46
572,340,232,9,33,3,0,0.000555555555555556,3600
8,4,4,2,171,0,0,0,86
4,2,2,1,174,0,0,0,76
4,2,2,1,174,0,0,0,204
4,2,2,1,174,0,0,0,122
9,5,4,2,33,1,0,0,221
25,15,10,3,158,0,0,0,352
4,2,2,1,174,0,0,0,34
13,7,6,1,171,0,0,0,367
7,4,3,2,145,0,0,0,49
4,2,2,1,174,0,0,0,48
4,2,2,1,174,0,0,0,359
72,59,13,3,158,0,0,0,351
7,4,3,2,158,0,0,0,35
4,2,2,1,174,0,0,0,29
4,2,2,1,174,0,0,0,554
19,12,7,3,158,0,0,0,360
4,2,2,1,174,0,0,0,41
4,2,2,1,174,0,0,0,59
4,2,2,1,174,0,0,0,63
4,2,2,1,174,0,0,0,837
136,100,36,4,165,0,0,0,515
9,4,5,2,159,0,0,0,1878
8,4,4,2,102,1,0,0,692
4,2,2,1,174,0,0,0,35
4,2,2,1,174,0,0,0,645
4,2,2,1,174,0,0,0,242
252,140,112,10,27,3,0,0.000287397614599799,6959
4,2,2,1,159,0,0,0,1245
4,2,2,1,174,0,0,0,91
24,15,9,2,25,1,0,0.00230414746543779,434
4,2,2,1,174,0,0,0,51
18,6,12,2,165,0,0,0,1149
4,2,2,1,174,0,0,0,851
4,2,2,1,174,0,0,0,150
4,2,2,1,174,0,0,0,102
169,121,48,12,4,1,0,0.000410424789657295,4873
4,2,2,1,174,0,0,0,518
4,2,2,1,174,0,0,0,495
4,2,2,1,174,0,0,0,1317
194,170,24,6,104,1,0,0.000551267916207277,5442
32,26,6,3,24,0,0,0.000382555470543229,2614
4,2,2,1,174,0,0,0,282
18,10,8,5,18,0,0,0.0056980056980057,351
83,48,35,13,3,1,0,0.000802568218298555,1246
25,15,10,7,18,1,0,0.00131752305665349,759
4,2,2,1,174,0,0,0,456
386,75,311,5,118,1,0,0,3118
23,9,14,3,118,1,0,0,364
4,2,2,1,174,0,0,0,66
7,4,3,2,167,0,0,0,189
27,18,9,3,24,0,0,0,1070
4,2,2,1,174,0,0,0,146
4,2,2,1,174,0,0,0,21
4,2,2,1,174,0,0,0,397
4,2,2,1,174,0,0,0,16
4,2,2,1,174,0,0,0,123
4,2,2,1,174,0,0,0,18
4,2,2,1,174,0,0,0,558
4,2,2,1,174,0,0,0,18
61,50,11,3,14,1,0,0.000682128240109141,1466
4,2,2,1,174,0,0,0,24
4,2,2,1,174,0,0,0,115
4,2,2,1,174,0,0,0,16
4,2,2,1,174,0,0,0,67
4,2,2,1,174,0,0,0,410
4,2,2,1,174,0,0,0,25
4,2,2,1,174,0,0,0,436
4,2,2,1,174,0,0,0,18
4,2,2,1,174,0,0,0,104
4,2,2,1,174,0,0,0,18
4,2,2,1,174,0,0,0,279
4,2,2,1,174,0,0,0,17
4,2,2,1,174,0,0,0,619
4,2,2,1,174,0,0,0,18
4,2,2,1,174,0,0,0,56
4,2,2,1,174,0,0,0,16
61,55,6,4,17,0,0,0,525
4,2,2,1,174,0,0,0,18
4,2,2,1,174,0,0,0,164
4,2,2,1,174,0,0,0,18
4,2,2,1,174,0,0,0,69
4,2,2,1,174,0,0,0,16
4,2,2,1,174,0,0,0,82
4,2,2,1,174,0,0,0,16
4,2,2,1,174,0,0,0,144
32,19,13,5,33,1,0,0.00123152709359606,812
20,12,8,2,25,1,0,0,1526
31,19,12,4,4,0,0,0,1274
8,4,4,1,159,0,0,0.00136612021857923,732
108,60,48,2,133,1,0,0,713
4,2,2,1,174,0,0,0,102
4,2,2,1,174,0,0,0,811
4,2,2,1,174,0,0,0,23
114,97,17,4,145,0,0,0,1881
4,3,1,1,17,0,0,0,192
9,5,4,2,167,0,0,0,1370
4,2,2,1,174,0,0,0,972
56,42,14,7,33,2,0,0.000517732332384157,3863
