CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,117,0,0,0,0
0,0,0,1,117,0,0,0,0
0,0,0,1,76,0,0,0,3
33,22,11,2,88,1,0,0,306
0,0,0,1,113,0,0,0,66
9,7,2,1,113,0,0,0,232
58,39,19,1,109,1,0,0,1059
8,4,4,1,113,0,0,0,892
23,11,12,2,57,1,0,0,1420
38,29,9,2,49,0,0,0,141
9,7,2,1,49,0,0,0,1593
33,21,12,2,70,1,0,0.000752728641324802,2657
19,13,6,1,59,0,0,0,84
25,20,5,2,58,1,0,0,157
72,67,5,3,52,0,0,0,311
42,40,2,1,85,0,0,0,537
230,165,65,3,83,0,0,0.00247524752475248,404
188,147,41,5,83,0,0,0,310
513,385,128,17,58,4,0,0,1348
9,7,2,1,90,0,0,0,165
29,22,7,4,60,1,0,0,0
169,145,24,2,60,0,0,0.00313479623824451,319
168,97,71,4,18,2,0,0,5652
13,7,6,1,113,0,0,0,1038
8,4,4,1,19,0,0,0,460
21,7,14,1,56,1,0,0,620
340,241,99,11,28,2,0,0,915
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
10,5,5,2,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
8,4,4,2,59,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
991,803,188,2,59,1,0,0,2314
13,10,3,1,62,1,0,0,379
6,3,3,1,62,1,0,0,1618
10,5,5,1,119,0,0,0,412
6,3,3,1,119,0,0,0,231
6,3,3,1,119,0,0,0,304
8,4,4,1,119,0,0,0,2631
12,10,2,1,59,0,0,0.000784929356357928,2548
9,6,3,1,114,0,0,0.00210084033613445,952
31,18,13,3,8,0,0,0.000338868180277872,2951
10,5,5,1,119,0,0,0,412
31,15,16,2,110,0,0,0,238
8,5,3,1,119,0,0,0,309
8,4,4,1,119,0,0,0,3151
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
10,5,5,2,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,2,59,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
0,0,0,1,81,0,0,0,0
8,4,4,2,81,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
10,5,5,2,59,0,0,0,0
6,3,3,2,59,0,0,0,0
6,3,3,2,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
0,0,0,1,59,0,0,0,0
8,4,4,2,59,0,0,0,0
25,11,14,2,71,2,0,0,318
8,4,4,1,71,1,0,0,402
22,16,6,1,69,0,0,0,1936
6,3,3,1,71,1,0,0,244
36,17,19,3,19,0,0,0.00245700245700246,407
15,11,4,1,71,1,0,0,89
12,10,2,1,71,1,0,0,104
6,3,3,1,71,1,0,0,340
244,129,115,5,70,3,0,0,1535
159,82,77,1,56,0,0,0,322
525,261,264,9,4,1,0,0.000285306704707561,3505
66,41,25,6,18,0,0,0.000555247084952804,1801
209,87,122,7,19,2,0,0.001,3000
44,26,18,2,20,0,0,0,0
74,36,38,3,19,3,0,0.00116822429906542,856
274,148,126,3,114,0,0,0,2085
93,27,66,2,82,1,0,0.00337837837837838,1184
86,62,24,3,78,1,0,0.0114942528735632,174
1156,660,496,11,18,3,0,0.00155219247186651,2577
1362,740,622,16,50,5,0,0,3106
2180,1521,659,10,69,2,0,0.000203086921202275,4924
21,12,9,2,19,0,0,0,816
119,86,33,1,82,1,0,0,1081
255,100,155,1,56,0,0,0,435
187,79,108,4,71,3,0,0,1012
86,46,40,3,18,1,0,0,1771
542,243,299,12,4,3,0,0.000417362270450751,2396
177,86,91,2,56,0,0,0,492
31,13,18,3,19,0,0,0.00221729490022173,451
47,32,15,2,30,1,0,0.00151285930408472,661
0,0,0,1,113,0,0,0,0
22,11,11,2,19,0,0,0.00241545893719807,414
808,612,196,8,52,1,0,0,2550
207,107,100,6,59,4,0,0,2506
275,43,232,8,0,0,0,0,1475
149,56,93,3,90,0,0,0,1059
1319,1049,270,11,6,2,0,0,1236
120,80,40,4,57,1,0,0.000859845227858985,1163
512,394,118,7,20,0,0,0,1792
690,516,174,19,4,4,0,0.000605326876513317,6608
1841,1580,261,20,19,4,0,0,2818
31,16,15,1,110,0,0,0,537
30,15,15,3,4,1,0,0.000474158368895211,2109
0,0,0,1,114,0,0,0,74
75,39,36,6,4,1,0,0.000495417389150359,4037
30,14,16,3,19,0,0,0.00242718446601942,412
0,0,0,1,113,0,0,0,0
106,48,58,3,8,1,0,0.00148809523809524,1344
