CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,45,0,0,0,0
104,87,17,5,30,3,0,0.000971817298347911,2058
0,0,0,1,87,0,0,0,86
0,0,0,1,87,0,0,0,107
155,146,9,3,56,1,0,0,839
0,0,0,1,87,0,0,0,158
437,329,108,9,44,4,0,0,1642
52,29,23,3,44,0,0,0,99
4,2,2,2,73,1,0,0,513
0,0,0,1,87,0,0,0,70
4,2,2,2,50,1,0,0,567
0,0,0,1,87,0,0,0,79
8,5,3,2,86,1,0,0,1181
0,0,0,1,87,0,0,0,115
0,0,0,1,87,0,0,0,165
2,2,0,2,44,0,0,0,96
0,0,0,1,87,0,0,0,32
36,32,4,4,36,2,0,0.00917431192660551,109
0,0,0,1,87,0,0,0,30
775,542,233,13,17,10,0,0.0035650623885918,561
10,9,1,4,36,2,0,0.012987012987013,77
1488,1104,384,21,9,12,0,0.000648088139987038,1543
0,0,0,1,87,0,0,0.0204081632653061,49
871,504,367,8,70,6,0,0.00143472022955524,697
30,17,13,4,44,2,0,0.0163934426229508,61
4,2,2,2,82,1,0,0.00316455696202532,316
0,0,0,1,87,0,0,0.0263157894736842,38
7,3,4,2,73,1,0,0.00172413793103448,580
0,0,0,1,73,1,0,0.0181818181818182,55
1143,838,305,18,10,7,0,0.00141442715700141,1414
17,15,2,5,44,3,0,0.0101010101010101,99
75,59,16,3,36,1,0,0,349
0,0,0,1,87,0,0,0,69
1,1,0,2,82,1,0,0,24
37,23,14,1,34,1,0,0.00200400801603206,499
31,25,6,3,27,2,0,0.00626959247648903,319
7,5,2,3,36,2,0,0.00796812749003984,251
7,3,4,1,89,0,0,0.00490196078431373,612
4,2,2,1,82,1,0,0.00354609929078014,282
43,38,5,2,68,1,0,0,1646
4,4,0,1,82,1,0,0,178
46,45,1,2,82,2,0,0.000657030223390276,1522
8,8,0,1,82,1,0,0,136
336,244,92,7,17,5,0,0.000312793243665937,3197
6,6,0,2,22,2,0,0,219
2,1,1,1,42,1,0,0,61
44,34,10,4,36,2,0,0,1025
3,1,2,1,36,1,0,0,78
246,148,98,3,50,1,0,0,206
36,13,23,2,36,2,0,0,176
263,156,107,3,36,2,0,0,358
2,1,1,1,53,0,0,0,45
