CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
57,21,36,2,8,0,0,0.016597510373444,241
2,1,1,2,8,0,0,0,0
17,0,17,1,16,0,0,0,53
0,0,0,1,8,0,0,0,0
649,348,301,2,8,0,0,0,0
6,4,2,1,29,1,0,0,280
0,0,0,1,8,0,0,0,0
26,9,17,1,16,0,0,0,115
4,2,2,1,16,0,0,0,139
18,7,11,1,16,0,0,0,108
4,2,2,1,16,0,0,0,134
1,1,0,1,16,0,0,0,109
0,0,0,1,16,0,0,0,0
23,10,13,1,16,0,0,0,195
9,5,4,1,16,0,0,0,162
52,22,30,1,16,0,0,0,531
91,42,49,1,16,0,0,0,284
19,10,9,1,16,0,0,0,194
222,135,87,3,12,2,0,0,157
1,1,0,1,16,0,0,0,82
1,1,0,1,16,0,0,0,83
0,0,0,1,16,0,0,0,0
4,3,1,1,16,0,0,0,123
190,22,168,1,16,0,0,0,3120
23,3,20,1,16,0,0,0,695
25,3,22,1,16,0,0,0,95
330,35,295,2,8,0,0,0.00170981924767953,4094
38,5,33,1,16,0,0,0,112
31,4,27,1,16,0,0,0,629
87,2,85,2,8,0,0,0.00363636363636364,825
109,10,99,1,16,0,0,0.00094577553593947,3172
20,2,18,1,16,0,0,0,121
17,1,16,1,16,0,0,0,285
200,2,198,2,8,0,0,0.00264550264550265,378
56,7,49,1,16,0,0,0.00193798449612403,1548
43,2,41,1,16,0,0,0.00321543408360129,933
21,1,20,1,16,0,0,0,144
35,5,30,2,16,1,0,0,340
23,1,22,1,16,0,0,0,424
17,1,16,1,16,0,0,0,268
17,1,16,1,16,0,0,0,63
25,3,22,1,16,0,0,0,371
26,3,23,1,16,0,0,0,575
17,1,16,1,16,0,0,0,2511
35,3,32,1,16,0,0,0,316
19,2,17,1,16,0,0,0,176
20,2,18,2,8,0,0,0,389
28,2,26,1,16,0,0,0,246
17,1,16,1,16,0,0,0,252
0,0,0,1,8,0,0,0,0
0,0,0,1,8,0,0,0,0
0,0,0,1,8,0,0,0,0
19,2,17,1,16,0,0,0.00471698113207547,212
93,29,64,3,12,2,0,0.00256410256410256,390
17,1,16,1,16,0,0,0.00892857142857143,224
19,2,17,1,16,0,0,0.000516262261228704,1937
19,1,18,1,16,0,0,0,349
17,1,16,1,16,0,0,0,662
17,1,16,1,16,0,0,0,373
17,1,16,1,16,0,0,0,115
17,1,16,1,16,0,0,0,359
18,1,17,1,16,0,0,0,121
0,0,0,1,16,0,0,0,0
1,1,0,1,16,0,0,0.00684931506849315,146
1,1,0,1,16,0,0,0.00684931506849315,146
1,1,0,1,16,0,0,0.00694444444444444,144
23,1,22,2,8,0,0,0,0
14,1,13,1,16,0,0,0,61
21,1,20,2,8,0,0,0,0
17,1,16,2,8,0,0,0,0
29,1,28,2,8,0,0,0,0
109,16,93,1,16,0,0,0.00136425648021828,733
61,9,52,1,16,0,0,0,491
73,11,62,1,16,0,0,0,471
22,4,18,1,16,0,0,0,419
73,18,55,1,16,0,0,0,276
31,6,25,1,16,0,0,0,137
21,2,19,1,16,0,0,0,137
27,4,23,1,16,0,0,0,571
206,55,151,2,16,1,0,0,1683
43,8,35,1,16,0,0,0,325
29,5,24,1,16,0,0,0,133
38,6,32,1,16,0,0,0,195
18,2,16,1,16,0,0,0,194
15,6,9,2,8,0,0,0.00480769230769231,208
3,2,1,2,8,0,0,0.015625,64
33,10,23,2,8,0,0,0.00515463917525773,194
0,0,0,1,8,0,0,0,0
3,2,1,2,8,0,0,0.0140845070422535,71
35,13,22,1,16,0,0,0.0016366612111293,611
76,11,65,2,8,0,0,0.002710027100271,369
91,13,78,2,8,0,0,0,305
63,1,62,1,16,0,0,0,339
145,27,118,2,8,0,0,0.00465116279069767,430
35,19,16,2,8,0,0,0.0036231884057971,276
29,5,24,1,16,0,0,0,126
19,2,17,1,16,0,0,0,168
37,6,31,2,8,0,0,0.00432900432900433,231
19,10,9,2,8,0,0,0,80
75,10,65,2,8,0,0,0.00471698113207547,212
19,2,17,1,16,0,0,0.00961538461538462,104
201,77,124,3,13,2,0,0,380
17,1,16,1,16,0,0,0,63
80,14,66,2,8,0,0,0,331
28,2,26,1,16,0,0,0,171
50,6,44,1,16,0,0,0,339
21,2,19,1,16,0,0,0.00444444444444444,225
52,8,44,1,16,0,0,0,361
50,3,47,1,16,0,0,0.00325732899022801,307
23,1,22,1,16,0,0,0.0099009900990099,101
8,8,0,1,29,1,0,0,82
96,16,80,1,16,0,0,0.00263852242744063,379
23,4,19,1,16,0,0,0,125
22,3,19,1,16,0,0,0,109
