CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
5,3,2,1,68,1,0,0,761
4,2,2,1,65,0,0,0,505
8,4,4,1,65,0,0,0,405
4,2,2,1,65,0,0,0,221
218,118,100,1,65,1,0,0,712
2,1,1,1,85,1,0,0,1355
4,2,2,1,85,1,0,0,431
9,6,3,1,0,1,0,0,359
10,7,3,1,0,1,0,0,820
69,49,20,4,28,1,0,0,707
36,4,32,2,35,1,0,0,750
8,4,4,1,35,1,0,0,583
48,7,41,3,28,2,0,0,203
73,23,50,1,28,0,0,0,277
16,8,8,1,49,0,0,0,187
0,0,0,1,68,0,0,0,0
3,2,1,1,28,0,0,0,201
18,8,10,1,28,0,0,0,51
5,4,1,1,28,0,0,0,42
21,12,9,2,46,1,0,0,282
98,40,58,3,28,1,0,0,120
117,90,27,4,28,2,0,0,217
79,40,39,1,28,0,0,0,116
16,10,6,3,35,0,0,0,122
19,13,6,3,35,0,0,0,98
0,0,0,1,31,0,0,0,135
4,3,1,1,35,1,0,0,91
2,2,0,1,35,1,0,0,55
0,0,0,1,35,0,0,0,0
4,3,1,1,35,1,0,0,55
19,14,5,2,35,1,0,0,125
0,0,0,1,35,0,0,0,0
3,3,0,1,35,1,0,0,57
0,0,0,1,35,0,0,0,0
111,68,43,3,31,0,0,0,201
0,0,0,1,35,0,0,0,63
4,3,1,1,35,1,0,0,66
0,0,0,1,35,0,0,0,0
0,0,0,1,35,0,0,0,0
17,8,9,2,35,0,0,0,161
29,8,21,2,35,0,0,0,94
4,2,2,2,45,0,0,0,0
31,18,13,3,35,0,0,0,131
41,13,28,2,35,0,0,0,125
14,7,7,2,35,0,0,0,47
6,3,3,1,35,0,0,0,37
0,0,0,1,35,0,0,0,35
0,0,0,1,35,0,0,0,150
0,0,0,1,35,0,0,0,50
289,118,171,2,35,0,0,0,256
82,27,55,4,31,0,0,0,369
18,8,10,1,35,0,0,0,164
6,3,3,1,35,0,0,0,198
35,17,18,2,35,0,0,0,216
6,3,3,1,35,0,0,0,95
37,17,20,2,45,0,0,0,40
0,0,0,1,35,0,0,0,56
7,2,5,1,35,0,0,0,73
9,5,4,2,45,0,0,0,0
23,16,7,2,45,0,0,0,0
11,6,5,2,45,0,0,0,0
0,0,0,1,35,0,0,0,35
0,0,0,1,35,0,0,0,29
0,0,0,1,35,0,0,0,0
8,6,2,2,45,0,0,0,0
5,4,1,1,35,0,0,0,35
6,3,3,1,35,0,0,0,33
6,3,3,1,35,0,0,0,49
9,3,6,1,35,0,0,0,89
161,83,78,2,35,0,0,0,108
20,14,6,2,35,0,0,0,53
11,6,5,3,35,1,0,0,0
12,6,6,1,35,0,0,0,90
8,4,4,1,35,0,0,0,37
187,108,79,3,52,0,0,0,976
0,0,0,1,62,0,0,0,107
4,2,2,1,62,0,0,0,117
12,9,3,2,62,0,0,0,181
4,3,1,1,31,0,0,0,51
17,16,1,1,31,0,0,0,795
4,2,2,1,31,0,0,0,41
229,146,83,3,52,0,0,0,279
0,0,0,1,62,0,0,0,46
0,0,0,1,68,0,0,0,40
94,67,27,2,52,0,0,0,303
0,0,0,1,62,0,0,0,45
4,3,1,1,31,0,0,0,43
10,6,4,1,31,0,0,0,15
4,3,1,1,31,0,0,0,641
44,9,35,3,31,1,0,0,235
4,2,2,1,46,0,0,0,65
12,7,5,1,31,0,0,0,41
4,3,1,1,31,0,0,0,39
0,0,0,1,62,0,0,0,31
0,0,0,1,35,0,0,0,65
90,15,75,3,35,0,0,0,47
6,4,2,1,35,0,0,0,44
5,3,2,1,31,0,0,0,45
31,27,4,2,35,0,0,0,150
81,39,42,2,31,1,0,0,137
15,11,4,2,31,0,0,0,240
0,0,0,1,35,0,0,0,70
4,3,1,1,46,0,0,0,48
40,32,8,2,35,1,0,0,211
28,8,20,2,28,1,0,0,661
23,8,15,3,31,1,0,0,530
45,21,24,2,35,1,0,0,330
0,0,0,1,35,0,0,0,200
267,66,201,4,35,1,0,0,436
44,24,20,1,52,1,0,0,456
8,4,4,1,35,0,0,0,73
16,12,4,1,52,0,0,0,89
10,9,1,1,31,0,0,0,43
15,10,5,2,28,0,0,0,49
0,0,0,1,31,0,0,0,0
7,6,1,1,31,0,0,0,36
4,2,2,1,31,0,0,0,31
3,2,1,1,31,0,0,0,30
8,1,7,1,52,1,0,0,34
8,4,4,1,35,0,0,0,279
30,10,20,2,35,1,0,0,199
4,2,2,1,35,0,0,0,123
81,49,32,4,35,1,0,0,180
4,2,2,1,35,0,0,0,127
7,1,6,1,35,0,0,0,173
