CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
9,4,5,2,9,0,0,0.0014336917562724,1395
7,4,3,1,54,1,0,0.00884955752212389,113
155,84,71,7,38,1,0,0.00346620450606586,577
7,4,3,3,38,0,0,0.010989010989011,91
12,6,6,2,49,1,0,0.0045662100456621,219
4,2,2,1,49,1,0,0.0149253731343284,67
4,2,2,1,51,0,0,0.0103092783505155,97
8,4,4,1,51,0,0,0.0144927536231884,69
346,173,173,13,9,3,0,0.00430663221360896,2322
49,26,23,4,51,0,0,0.0182926829268293,164
4,2,2,1,51,0,0,0.00625,160
8,4,4,1,51,0,0,0.0114942528735632,87
12,8,4,1,33,0,0,0.0120481927710843,83
0,0,0,1,54,0,0,0,0
19,3,16,1,54,0,0,0.00357568533969011,839
1,0,1,1,54,0,0,0.00980392156862745,102
17,11,6,5,33,2,0,0.00485436893203883,206
3,2,1,1,51,0,0,0.0181818181818182,55
99,69,30,4,21,1,1,0.0220588235294118,136
2,1,1,2,21,1,1,0.0555555555555556,36
5548,3106,2442,20,7,10,1,0.00398759415152858,2257
662,414,248,6,11,4,1,0.0161943319838057,247
2,1,1,1,79,0,0,0,31
1732,1065,667,9,7,3,0,0.00364077669902913,824
1203,729,474,8,7,3,0,0.00433839479392625,461
1844,906,938,2,30,0,0,0.000777000777000777,1287
288,144,144,2,30,0,0,0.00564971751412429,177
16485,9664,6821,24,5,12,0,0.00110533878633801,9047
7269,4199,3070,12,7,6,0,0.00136537411250683,3662
186,138,48,5,29,3,0,0.00552486187845304,181
217,137,80,5,29,3,0,0.00699300699300699,143
175,96,79,4,7,1,0,0.00645161290322581,155
55,28,27,4,7,1,0,0.0161290322580645,62
37,18,19,2,30,0,0,0,41
645,323,322,1,30,0,0,0,674
259,154,105,2,30,0,0,0,444
13,11,2,1,21,0,0,0.0137339055793991,1165
30,21,9,1,21,0,0,0.0174418604651163,172
50,27,23,1,21,0,0,0.021505376344086,93
5855,1055,4800,14,16,2,3,0.00794392523364486,2140
2404,299,2105,10,16,1,3,0.00300075018754689,1333
0,0,0,1,19,0,1,0.00640439158279963,1093
0,0,0,1,19,0,1,0.0134228187919463,149
290,280,10,3,16,1,2,0.0126582278481013,632
17,11,6,2,19,1,2,0.0396039603960396,101
2,1,1,2,16,0,0,0.00519031141868512,578
42,27,15,1,19,1,1,0.0091324200913242,438
66,38,28,1,19,1,1,0.0184331797235023,217
0,0,0,1,19,0,1,0.037037037037037,27
0,0,0,1,19,0,1,0.0277777777777778,36
180,179,1,4,16,0,0,0.00909090909090909,220
108,108,0,3,16,0,0,0.00943396226415094,212
16,2,14,1,19,1,1,0.0210526315789474,95
36,13,23,1,19,1,1,0.0229885057471264,87
15,4,11,2,16,1,1,0.00851063829787234,940
0,0,0,1,19,1,1,0.0194174757281553,103
40,20,20,1,24,0,0,0.000623830318153462,1603
8,4,4,1,24,0,0,0.000438020148926851,2283
4,2,2,1,85,1,0,0.0120481927710843,83
27,14,13,1,24,0,0,0.000355239786856128,2815
2,1,1,1,84,0,0,0.000790513833992095,1265
4,2,2,2,37,2,0,0.000536480686695279,1864
1,0,1,1,78,0,0,0.00900900900900901,111
1,0,1,1,78,0,0,0.00892857142857143,112
2,0,2,1,78,0,0,0.00183150183150183,546
3,2,1,1,63,0,0,0.000968054211035818,1033
2,1,1,1,85,1,0,0.00107181136120043,933
2,1,1,1,84,1,0,0.00478468899521531,209
2,1,1,1,84,1,0,0.00179856115107914,556
15,8,7,1,62,1,0,0.00352112676056338,568
144,106,38,4,26,4,0,0.0024906600249066,803
26,17,9,2,62,2,0,0.00606060606060606,165
37,35,2,2,51,0,0,0.00446428571428571,224
4,4,0,1,51,0,0,0.0222222222222222,45
149,92,57,11,26,4,0,0.0015552099533437,643
33,22,11,2,62,2,0,0.0116279069767442,86
194,132,62,5,51,3,0,0.00402414486921529,497
19,17,2,3,51,3,0,0.00769230769230769,130
606,344,262,7,41,4,0,0.00277264325323475,1082
18,16,2,3,41,2,0,0.00510204081632653,196
6,3,3,3,60,3,0,0,0
4,2,2,1,84,0,0,0.00045024763619991,2221
4,2,2,2,84,1,0,0.000398089171974522,2512
2,1,1,1,85,1,0,0.000580383052814858,1723
33,17,16,4,35,2,0,0.000381533765738268,2621
7,4,3,1,35,1,0,0.00446428571428571,224
1,0,1,1,78,0,0,0.0163934426229508,61
8,0,8,1,9,0,0,0,34
33,28,5,2,44,1,0,0.00249376558603491,401
0,0,0,2,5,0,0,0.00649350649350649,154
6,3,3,3,3,1,0,0.0222222222222222,45
4,4,0,1,64,1,0,0,147
0,0,0,1,9,0,0,0,0
0,0,0,1,9,0,0,0,0
6,4,2,2,9,1,0,0,0
0,0,0,1,9,0,0,0,0
0,0,0,1,9,0,0,0,0
0,0,0,1,9,0,0,0,0
0,0,0,1,8,0,0,0,0
1,1,0,2,14,1,0,0,186
0,0,0,1,21,0,0,0,61
0,0,0,1,21,0,0,0,92
0,0,0,1,21,0,0,0,45
0,0,0,1,21,0,0,0,39
0,0,0,1,21,0,0,0,35
8,4,4,2,51,1,0,0.00574712643678161,348
2,1,1,1,51,0,0,0,48
54,27,27,3,22,1,0,0,261
3,2,1,2,22,0,0,0,80
69,49,20,2,22,1,0,0,188
10,6,4,2,22,1,0,0,54
0,0,0,1,24,0,0,0,39
0,0,0,1,24,0,0,0,35
0,0,0,1,18,0,0,0,316
0,0,0,1,18,0,0,0,128
32,16,16,3,16,1,0,0,293
0,0,0,1,18,0,0,0,67
0,0,0,1,18,0,0,0,39
0,0,0,1,18,0,0,0,35
0,0,0,1,21,0,0,0,223
0,0,0,1,21,0,0,0,69
0,0,0,1,21,0,0,0,107
0,0,0,1,21,0,0,0,51
0,0,0,1,21,0,0,0,39
0,0,0,1,21,0,0,0,35
6,4,2,2,16,1,0,0,107
0,0,0,1,23,0,0,0,48
0,0,0,1,23,0,0,0,66
0,0,0,1,23,0,0,0,46
0,0,0,1,23,0,0,0,39
0,0,0,1,23,0,0,0,35
10,10,0,5,18,0,0,0,51
8,4,4,1,51,0,0,0,98
2,1,1,1,51,0,0,0,44
4,2,2,1,51,0,0,0.0111111111111111,90
2,1,1,1,51,0,0,0,48
3,2,1,1,0,1,0,0,432
17,9,8,1,9,0,0,0,633
3,2,1,1,9,0,0,0,144
12,4,8,2,16,2,0,0.00196850393700787,508
5,2,3,2,16,2,0,0,112
8,4,4,2,5,0,0,0.00164744645799012,607
24,12,12,2,5,0,0,0.00151975683890578,658
6,3,3,2,8,0,0,0,4
9,6,3,1,51,0,0,0,164
2,1,1,1,51,0,0,0,52
12,5,7,1,9,0,0,0,353
8,6,2,1,24,0,0,0,320
19,11,8,3,8,1,0,0.00186567164179104,536
7,4,3,1,16,0,0,0,130
307,157,150,10,6,4,0,0.00148588410104012,1346
12,3,9,3,36,2,0,0,178
97,2,95,1,16,0,0,0.00434782608695652,230
31,2,29,1,16,0,0,0.0108695652173913,92
12,6,6,2,49,1,0,0,510
4,2,2,1,36,1,0,0.00181488203266788,551
4,3,1,1,24,0,0,0.00239808153477218,417
1,0,1,1,9,0,0,0,440
8,4,4,2,5,0,0,0,338
12,6,6,2,5,0,0,0.00347222222222222,288
0,0,0,1,9,0,0,0,0
0,0,0,1,9,0,0,0,0
0,0,0,1,9,0,0,0,0
0,0,0,1,9,0,0,0,0
8,4,4,1,24,0,0,0,81
7,4,3,1,49,0,0,0.00467289719626168,214
1,1,0,1,49,0,0,0,84
35,20,15,3,68,2,0,0,65
18,10,8,3,22,1,0,0,175
4,2,2,1,63,0,0,0,72
6,3,3,1,63,0,0,0,38
2,1,1,1,63,0,0,0,74
4,2,2,1,63,0,0,0,42
19,9,10,1,68,0,0,0,176
2,1,1,1,63,0,0,0,59
4,2,2,1,63,0,0,0,41
