CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
15,8,7,2,54,1,0,0,350
120,60,60,3,156,2,0,0,1360
126,62,64,4,156,2,0,0,552
18,9,9,3,156,2,0,0,900
30,15,15,3,156,2,0,0,965
54,27,27,4,4,2,0,0,745
138,69,69,3,156,2,0,0,661
48,24,24,3,156,2,0,0,333
18,9,9,3,156,2,0,0,726
23,12,11,4,95,2,0,0,1453
36,18,18,3,156,2,0,0,921
24,12,12,3,156,2,0,0,183
96,48,48,3,156,2,0,0,1585
24,12,12,3,156,2,0,0,640
36,18,18,4,156,2,0,0,1359
12,6,6,3,156,2,0,0,104
24,12,12,3,156,2,0,0,646
24,12,12,3,156,2,0,0,790
5,4,1,1,7,0,0,0,100
22,12,10,2,75,0,0,0,125
197,146,51,4,155,1,0,0.00385356454720617,519
4,3,1,1,7,0,0,0,127
6,4,2,1,178,1,0,0,869
14,7,7,1,54,0,0,0,2133
35,19,16,2,75,0,0,0,494
4,2,2,1,17,0,0,0,289
3,2,1,1,109,0,0,0,97
5,4,1,1,7,0,0,0,60
5,3,2,1,109,0,0,0,411
72,43,29,3,43,1,0,0,1452
14,7,7,1,56,0,0,0.00130718954248366,765
6,3,3,1,178,1,0,0.00172413793103448,580
5,4,1,1,7,0,0,0,119
13,6,7,2,1,0,0,0,370
7,5,2,1,178,1,0,0,1070
8,4,4,1,4,0,0,0,1648
5,4,1,1,7,0,0,0,104
21,10,11,1,123,0,0,0,139
5,4,1,1,7,0,0,0,204
3,3,0,1,7,0,0,0,389
14,6,8,2,39,0,0,0,697
5,4,1,1,7,0,0,0,531
5,4,1,1,7,0,0,0,668
5,4,1,1,7,0,0,0,837
196,186,10,2,4,1,0,0.00139664804469274,716
160,92,68,11,2,2,0,0.000749625187406297,1334
0,0,0,1,124,0,0,0,55
14,7,7,1,125,0,0,0,91
8,4,4,1,125,0,0,0,55
6,3,3,1,125,0,0,0,61
64,32,32,1,125,0,0,0,172
7,3,4,1,125,0,0,0,97
10,5,5,1,125,0,0,0,66
15,5,10,2,111,0,0,0,77
12,6,6,1,125,0,0,0,67
12,2,10,1,124,0,0,0,53
0,0,0,1,18,0,0,0,185
0,0,0,1,18,0,0,0,169
95,95,0,1,21,0,0,0,95
91,91,0,1,21,0,0,0,91
71,71,0,1,21,0,0,0,71
95,95,0,1,21,0,0,0,95
95,95,0,1,21,0,0,0,95
54,54,0,1,21,0,0,0,54
91,91,0,1,21,0,0,0,91
67,67,0,1,21,0,0,0,67
83,83,0,1,21,0,0,0,83
0,0,0,1,115,0,0,0,0
0,0,0,1,115,0,0,0,0
0,0,0,1,115,0,0,0,0
0,0,0,1,115,0,0,0,0
0,0,0,1,115,0,0,0,0
0,0,0,1,115,0,0,0,0
0,0,0,1,115,0,0,0,0
90,66,24,5,10,0,0,0,310
6,3,3,1,21,0,0,0,52
8,3,5,1,21,0,0,0,52
3,1,2,1,37,0,0,0,47
6,3,3,1,37,0,0,0,133
6,2,4,1,37,0,0,0,109
72,72,0,1,20,0,0,0,72
73,72,1,2,20,0,0,0,71
57,57,0,1,20,0,0,0,57
70,70,0,1,20,0,0,0,70
70,70,0,1,20,0,0,0,70
54,54,0,1,20,0,0,0,54
73,72,1,2,20,0,0,0,71
58,58,0,1,20,0,0,0,58
8,6,2,1,91,0,0,0,38
8,6,2,1,91,0,0,0,40
0,0,0,1,19,0,0,0,54
0,0,0,1,19,0,0,0,77
