CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
14,13,1,1,49,0,0,0,271
4,2,2,1,53,0,0,0,929
7,5,2,1,56,1,0,0,1327
10,5,5,2,0,1,0,0,984
9,7,2,1,0,1,0,0,749
4,2,2,1,0,1,0,0,266
4,2,2,1,0,1,0,0,420
147,144,3,1,29,1,0,0,1157
20,17,3,2,43,0,0,0,309
6,3,3,1,21,0,0,0,1882
4,3,1,1,46,0,0,0,127
7,4,3,1,86,0,0,0,153
4,2,2,1,9,0,0,0,661
4,2,2,1,9,0,0,0,112
4,2,2,1,9,0,0,0,580
4,2,2,1,9,0,0,0,292
5,4,1,1,19,0,0,0,57
5,1,4,1,19,0,0,0,523
26,11,15,1,53,0,0,0,2620
4,4,0,1,84,0,0,0,11204
18,15,3,2,7,0,0,0,6487
5,2,3,2,7,0,0,0,969
2,2,0,1,20,0,0,0,7969
2,0,2,1,11,0,0,0,1552
203,128,75,1,15,0,0,0,10858
87,36,51,2,7,0,0,0,84
0,0,0,1,15,0,0,0,23
2,1,1,1,8,0,0,0,19174
2,1,1,2,20,0,0,0,333
24,24,0,2,23,0,0,0,185
3,3,0,1,10,0,0,0,9526
3,3,0,2,20,1,0,0,135
3,2,1,2,20,1,0,0,1146
16,11,5,2,9,0,0,0,95
3,3,0,1,10,0,0,0,8954
3,1,2,2,3,1,0,0,1476
100,48,52,1,10,0,0,0,603
9,9,0,1,7,0,0,0,1999
0,0,0,1,12,0,0,0,9
27,27,0,1,12,0,0,0,1566
4,2,2,2,9,0,0,0,62
0,0,0,1,12,0,0,0.0125,80
4,2,2,2,9,0,0,0,96
0,0,0,1,12,0,0,0.0227272727272727,44
51,33,18,1,55,1,0,0,156
179,158,21,1,55,1,0,0,546
222,118,104,1,55,1,0,0,285
6,4,2,2,10,0,0,0,1098
2,1,1,1,11,0,0,0,2406
17,16,1,1,11,1,0,0,716
29,29,0,1,62,1,0,0,1943
19,0,19,1,11,1,0,0,93
62,62,0,1,17,0,0,0,198
35,34,1,1,17,0,0,0,170
10,5,5,2,12,0,0,0,1403
9,6,3,1,5,1,0,0,493
21,12,9,1,87,1,0,0,13230
8,4,4,1,9,1,0,0,14830
7,6,1,2,62,1,0,0,144
40,20,20,1,9,1,0,0,7369
16,8,8,1,53,0,0,0,2752
1,1,0,1,11,1,0,0,76
1,1,0,1,11,1,0,0,113
1,1,0,1,11,1,0,0,170
3,2,1,1,11,1,0,0,1228
25,21,4,1,11,1,0,0,6094
3,2,1,1,11,1,0,0,4873
2,1,1,1,44,0,0,0,1828
4,2,2,1,18,0,0,0,325
3,2,1,1,1,0,0,0,281
7,6,1,1,1,0,0,0,125
4,2,2,1,0,0,0,0,1491
19,19,0,2,52,1,0,0,4421
10,5,5,1,18,0,0,0,172
10,5,5,1,18,0,0,0,161
10,5,5,1,18,0,0,0,22
8,4,4,1,18,0,0,0,19
4,2,2,1,18,0,0,0,116
2,0,2,1,26,0,0,0,160
27,12,15,2,0,1,0,0,910
80,41,39,1,5,1,0,0,187
4,2,2,1,10,0,0,0,180
7,4,3,1,13,1,0,0,213
4,3,1,1,59,0,0,0,128
27,26,1,1,1,0,0,0,1490
0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0
69,30,39,1,47,1,0,0,139
150,112,38,1,28,0,0,0.00186915887850467,535
72,57,15,1,28,0,0,0,457
0,0,0,1,28,0,0,0,0
0,0,0,1,28,0,0,0,0
0,0,0,2,28,0,0,0,0
43,41,2,1,28,0,0,0,102
413,246,167,2,28,0,0,0.000992063492063492,1008
1031,938,93,2,28,0,0,0,1184
223,147,76,1,28,0,0,0,445
14,11,3,1,28,0,0,0,54
10,5,5,2,28,0,0,0.003584229390681,279
118,10,108,3,27,0,0,0,90
165,98,67,1,28,0,0,0.00222222222222222,450
54,11,43,1,28,0,0,0,187
22,15,7,1,28,0,0,0,53
0,0,0,1,28,0,0,0.00662251655629139,151
61,24,37,1,28,0,0,0,379
71,31,40,2,28,0,0,0,364
247,202,45,1,28,0,0,0.00280112044817927,357
29,17,12,1,6,1,0,0,6297
6,3,3,1,14,0,0,0,23
6,3,3,1,14,0,0,0,23
6,3,3,1,14,0,0,0,22
6,3,3,1,14,0,0,0,22
6,3,3,1,14,0,0,0,23
6,3,3,1,14,0,0,0,23
6,3,3,1,14,0,0,0,23
6,3,3,1,14,0,0,0,23
6,5,1,1,37,0,0,0,307
54,45,9,1,37,0,0,0,408
71,68,3,1,37,0,0,0,736
121,91,30,3,25,1,0,0,737
8,4,4,1,25,0,0,0,175
6,3,3,1,25,0,0,0,160
23,16,7,2,25,0,0,0,236
22,11,11,2,25,1,0,0,599
179,100,79,9,10,4,0,0.0010752688172043,930
2,1,1,1,29,1,0,0,1568
2,1,1,1,76,1,0,0,643
3,2,1,1,76,1,0,0,1096
10,6,4,1,76,1,0,0,973
2,1,1,1,16,0,0,0,1351
4,2,2,1,76,1,0,0,1070
