CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
26,25,1,2,1,0,0,0.00952380952380952,105
49,39,10,2,1,0,0,0.00396825396825397,252
0,0,0,1,1,0,0,0,43
0,0,0,1,1,0,0,0,861
0,0,0,1,1,0,0,0,578
0,0,0,1,1,0,0,0.0212765957446809,47
0,0,0,1,1,0,0,0,45
8,5,3,1,1,0,0,0.0107142857142857,280
30,19,11,2,1,0,0,0.0394736842105263,76
65,38,27,1,48,0,0,0,133
0,0,0,1,48,0,0,0,45
0,0,0,1,48,0,0,0,57
0,0,0,1,48,0,0,0,451
0,0,0,1,48,0,0,0,71
0,0,0,1,48,0,0,0,148
139,101,38,1,48,0,0,0,253
0,0,0,1,48,0,0,0,66
0,0,0,1,48,0,0,0,555
50,26,24,1,48,0,0,0,53
64,34,30,1,48,0,0,0,97
77,47,30,1,48,0,0,0,67
0,0,0,1,48,0,0,0,67
0,0,0,1,48,0,0,0,135
57,30,27,1,48,0,0,0,142
39,21,18,1,48,0,0,0,53
49,26,23,1,48,0,0,0,159
106,57,49,1,48,0,0,0,302
48,26,22,1,48,0,0,0,55
98,55,43,1,48,0,0,0,362
40,22,18,1,48,0,0,0,58
59,31,28,1,48,0,0,0,118
55,29,26,1,48,0,0,0,141
56,30,26,1,48,0,0,0,87
52,28,24,1,48,0,0,0,119
44,24,20,1,48,0,0,0,35
46,25,21,1,48,0,0,0,37
44,24,20,1,48,0,0,0,73
82,43,39,1,48,0,0,0,221
58,35,23,1,48,0,0,0,113
38,21,17,1,48,0,0,0,46
40,22,18,1,48,0,0,0,51
52,28,24,1,48,0,0,0,91
69,37,32,1,48,0,0,0,134
56,34,22,1,48,0,0,0,110
0,0,0,1,48,0,0,0,448
67,44,23,1,48,0,0,0,86
58,35,23,1,48,0,0,0,89
127,99,28,1,48,0,0,0,379
75,40,35,1,48,0,0,0,169
36,20,16,1,48,0,0,0,37
40,22,18,1,48,0,0,0,38
38,21,17,1,48,0,0,0,40
38,21,17,1,48,0,0,0,38
40,22,18,1,48,0,0,0,66
48,26,22,1,48,0,0,0,98
40,22,18,1,48,0,0,0,70
52,28,24,1,48,0,0,0,174
44,26,18,1,48,0,0,0,51
207,132,75,1,48,0,0,0,160
112,72,40,1,48,0,0,0,151
0,0,0,1,48,0,0,0,107
874,828,46,1,48,0,0,0,859
0,0,0,1,48,0,0,0,0
0,0,0,1,48,0,0,0,0
0,0,0,1,48,0,0,0,0
0,0,0,1,48,0,0,0,0
0,0,0,1,48,0,0,0,0
0,0,0,1,48,0,0,0,0
71,44,27,1,48,0,0,0,307
0,0,0,1,48,0,0,0,254
0,0,0,1,48,0,0,0,383
61,36,25,1,48,0,0,0,47
62,33,29,1,48,0,0,0,99
54,30,24,1,48,0,0,0,132
66,35,31,1,48,0,0,0,198
99,39,60,1,48,0,0,0,55
38,21,17,1,48,0,0,0,38
68,35,33,1,48,0,0,0,103
60,34,26,1,48,0,0,0,48
164,116,48,1,48,0,0,0,242
0,0,0,1,48,0,0,0,293
279,144,135,1,48,0,0,0,160
0,0,0,1,48,0,0,0,151
0,0,0,1,48,0,0,0,59
38,21,17,1,48,0,0,0,45
74,41,33,1,48,0,0,0,95
36,20,16,1,48,0,0,0,24
45,26,19,1,48,0,0,0,151
59,33,26,1,48,0,0,0,158
140,71,69,1,48,0,0,0,385
44,24,20,1,48,0,0,0,57
48,26,22,1,48,0,0,0,58
39,21,18,1,48,0,0,0,120
123,64,59,1,48,0,0,0,357
193,91,102,1,48,0,0,0,225
76,40,36,1,48,0,0,0,234
68,40,28,1,48,0,0,0,213
