CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
345,173,172,6,26,1,0,0,393
5,5,0,1,145,0,0,0,44
2,1,1,1,157,0,1,0,172
5,3,2,2,142,0,1,0,231
6,5,1,3,141,1,0,0,220
2,1,1,1,157,0,1,0,210
3,2,1,2,142,0,1,0,266
2,1,1,1,157,0,1,0,278
2,1,1,1,157,0,1,0,250
13,11,2,5,141,1,0,0,111
33,17,16,6,58,2,1,0.00166666666666667,600
11,9,2,3,141,1,0,0,77
4,1,3,1,141,1,0,0.00581395348837209,172
999,688,311,5,59,1,1,0.00133244503664224,1501
6,3,3,2,88,0,0,0,0
0,0,0,1,88,0,0,0,0
0,0,0,1,88,0,0,0,0
0,0,0,1,88,0,0,0,0
563,395,168,5,44,3,0,0.00043956043956044,2275
12,10,2,2,91,1,0,0,61
4,2,2,2,88,1,0,0,0
0,0,0,1,88,0,0,0,0
5,3,2,2,88,0,0,0,0
14,9,5,2,44,1,0,0,84
0,0,0,1,88,0,0,0,0
0,0,0,1,88,0,0,0,0
0,0,0,1,88,0,0,0,0
20,7,13,3,71,3,0,0.000677966101694915,1475
8,4,4,1,145,0,0,0,775
5,1,4,1,145,0,0,0,173
0,0,0,1,88,0,0,0,103
0,0,0,1,88,0,0,0,10
57,30,27,2,59,0,0,0.0192307692307692,52
376,217,159,2,59,0,0,0.00378071833648393,529
551,327,224,5,59,3,0,0.00422832980972516,473
707,385,322,2,59,0,0,0.00476190476190476,630
8,4,4,1,144,0,0,0.00357142857142857,280
21,13,8,2,59,0,0,0.0112359550561798,178
54,29,25,1,59,0,0,0.00254129606099111,787
158,88,70,2,59,0,0,0.00847457627118644,118
34,19,15,3,59,0,1,0.00185528756957328,539
23,14,9,1,59,0,0,0.00255102040816327,392
29,16,13,3,59,0,1,0.00164473684210526,608
0,0,0,1,84,0,0,0,0
263,132,131,2,59,0,0,0,148
44,22,22,2,59,0,0,0,732
46,23,23,2,59,0,0,0,52
50,25,25,2,59,0,0,0,49
26,13,13,2,59,0,0,0,28
1005,659,346,4,59,1,0,0,1223
10,7,3,2,83,0,0,0,61
10,5,5,1,144,0,0,0,112
15,8,7,3,59,1,1,0.00170940170940171,585
4,2,2,1,71,1,0,0,112
4,2,2,1,59,0,0,0,362
9,6,3,2,59,1,0,0.00403225806451613,248
124,65,59,5,59,3,1,0.00139275766016713,718
10,5,5,1,71,1,0,0.00168634064080944,593
46,39,7,2,59,0,0,0.00300751879699248,665
4,2,2,1,71,1,0,0.00192678227360308,519
0,0,0,1,88,0,0,0,0
4,3,1,1,44,0,0,0,579
140,53,87,4,41,0,0,0,198
148,71,77,3,44,1,0,0,392
4,1,3,2,141,1,0,0.0121951219512195,82
12,6,6,2,59,0,1,0.00328407224958949,609
441,324,117,9,42,5,0,0.00243605359317905,1642
5,4,1,1,142,0,0,0,774
24,12,12,2,59,0,0,0,188
20,17,3,2,59,0,0,0,168
50,32,18,2,59,0,0,0,462
4476,2448,2028,6,59,4,0,0,3681
259,131,128,5,59,3,0,0,215
11,5,6,2,59,0,0,0,316
236,14,222,2,59,0,0,0,686
0,0,0,1,142,0,0,0,0
95,67,28,3,59,0,0,0,951
153,38,115,4,22,0,0,0.0019723865877712,507
12,6,6,3,88,0,0,0,49
297,272,25,3,59,1,0,0,308
31,1,30,1,22,0,0,0.00108225108225108,924
10,1,9,1,142,0,0,0,82
6,3,3,1,177,0,0,0,244
144,102,42,2,59,0,0,0,1025
12,10,2,1,142,0,0,0,100
56,28,28,2,59,0,0,0,232
2,1,1,2,89,1,0,0.00141643059490085,706
799,526,273,4,59,1,0,0.00206185567010309,485
8,6,2,2,83,0,1,0,1095
1,1,0,1,144,0,0,0.00155763239875389,642
156,91,65,5,59,0,0,0.00273972602739726,365
30,12,18,2,59,1,0,0,1627
2,2,0,1,145,0,0,0,45
22,12,10,3,59,1,0,0.00531914893617021,188
8,3,5,2,59,0,0,0,34
32,17,15,1,59,0,0,0,349
93,48,45,1,59,0,0,0,114
6,4,2,1,12,1,0,0,70
12,7,5,2,12,1,0,0,169
11,7,4,1,12,1,0,0.0213903743315508,187
885,525,360,2,59,0,0,0.00108932461873638,918
144,78,66,2,59,0,0,0.0127388535031847,157
18,9,9,2,59,0,1,0.00133333333333333,750
76,40,36,3,11,2,0,0,215
6,3,3,1,59,0,0,0,38
486,328,158,5,9,3,0,0.000647668393782383,1544
11,7,4,3,59,1,0,0,135
14,7,7,1,59,0,0,0,178
72,42,30,3,59,0,0,0.00286259541984733,1048
8,4,4,2,59,0,0,0.0185185185185185,54
10,6,4,2,59,0,0,0,9
35,26,9,4,59,0,1,0,389
1,1,0,1,145,0,0,0,47
157,90,67,3,10,1,0,0.00220264317180617,908
4,2,2,1,145,0,0,0,56
1511,872,639,1,59,0,0,0,942
11,6,5,1,59,0,0,0,17
18,10,8,2,12,1,0,0.0175438596491228,114
84,46,38,2,59,0,0,0.00461538461538462,650
242,139,103,1,59,0,0,0,297
131,88,43,2,12,1,0,0.00574712643678161,174
40,20,20,1,59,0,0,0.0128205128205128,78
5,3,2,1,59,0,0,0.0017636684303351,567
1,1,0,1,145,0,0,0.0294117647058824,34
250,153,97,7,58,3,0,0.000902527075812274,1108
24,19,5,2,59,0,0,0.0099009900990099,101
10,5,5,1,144,0,0,0.00301204819277108,332
14,7,7,1,59,0,0,0.00167785234899329,1192
4,2,2,1,59,0,0,0.0016366612111293,611
3,1,2,2,88,1,0,0,0
2,2,0,2,88,0,0,0,0
13,8,5,3,59,0,0,0.00105596620908131,947
2,0,2,1,82,0,0,0.00552486187845304,181
303,237,66,6,9,2,0,0.00172314761631246,1741
11,5,6,3,141,1,0,0.00485436893203883,412
18,8,10,3,59,0,0,0,635
64,32,32,2,59,1,0,0.00306748466257669,326
50,47,3,2,141,1,0,0,651
275,59,216,6,57,1,0,0.00961538461538462,104
329,189,140,3,20,1,0,0.00225225225225225,444
