CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,70,0,0,0,57
0,0,0,1,70,0,0,0,39
0,0,0,1,70,0,0,0,8
0,0,0,1,70,0,0,0,12
4,2,2,2,68,1,0,0,19
0,0,0,1,70,0,0,0,0
0,0,0,1,70,0,0,0,0
0,0,0,1,70,0,0,0,0
0,0,0,1,70,0,0,0,0
0,0,0,1,70,0,0,0,0
8,0,8,1,54,0,0,0.00137174211248285,729
7,0,7,1,54,0,0,0,691
13,12,1,1,8,0,0,0,82
48,34,14,1,32,1,0,0,264
3,3,0,1,8,0,0,0,310
85,37,48,7,46,1,0,0.0294117647058824,102
0,0,0,1,52,0,0,0,4
2,1,1,3,52,1,0,0,0
0,0,0,2,52,0,0,0,0
2,1,1,1,83,1,0,0,550
2,1,1,1,56,0,0,0,174
24,12,12,4,56,3,0,0,477
5,3,2,2,56,1,0,0,214
8,4,4,3,7,3,0,0,450
22,13,9,2,32,1,0,0.00214592274678112,466
315,223,92,13,5,6,0,0.000485436893203883,2060
9,6,3,2,56,1,0,0,155
18,11,7,2,62,2,0,0,500
6,3,3,1,14,0,0,0.0147058823529412,68
75,46,29,11,14,6,0,0.000804181745074387,4974
407,1,406,4,37,1,0,0,0
12,1,11,2,14,2,0,0,1921
277,154,123,7,4,3,0,0.00346981263011797,1441
1611,798,813,8,32,4,0,0.00320512820512821,624
22,20,2,1,95,0,0,0.00124223602484472,805
2,2,0,1,112,1,0,0,33
3,2,1,1,95,1,0,0.00144927536231884,690
705,372,333,14,88,6,0,0.00403225806451613,744
21,12,9,2,4,0,0,0.00498753117206983,401
0,0,0,1,71,0,0,0,0
2,2,0,1,67,1,0,0,122
2,1,1,1,79,1,0,0,61
130,89,41,2,3,1,0,0,96
25,16,9,3,12,2,0,0,141
1,0,1,1,96,0,0,0,39
49,30,19,13,50,1,3,0.00809716599190283,247
41,39,2,5,95,1,0,0,97
8,8,0,1,4,1,0,0,240
50,34,16,12,5,1,0,0.00347222222222222,288
16,3,13,1,94,1,0,0.0204081632653061,49
59,30,29,13,1,3,0,0.000771010023130301,1297
36,10,26,2,8,1,0,0.000716332378223496,2792
3,3,0,1,85,0,0,0,256
9,9,0,3,35,1,0,0,238
2,1,1,1,9,1,0,0,75
2,2,0,1,76,0,0,0,628
6,3,3,1,20,1,0,0,115
30,4,26,8,7,2,0,0,406
1,1,0,1,90,0,0,0,571
2,1,1,1,62,0,0,0,175
7,1,6,2,12,1,0,0,96
1,0,1,1,63,0,0,0,400
1,1,0,1,57,1,0,0,56
185,123,62,43,0,10,0,0,0
2,1,1,1,79,0,0,0,165
16,7,9,4,39,1,0,0,120
53,43,10,3,75,1,0,0,321
62,0,62,7,96,1,0,0,0
10,7,3,1,97,1,0,0,492
9,5,4,1,57,1,0,0,2224
819,0,819,14,102,1,0,0,0
16,0,16,1,103,0,0,0,275
90,37,53,29,4,5,0,0.00254971953085161,1961
5,3,2,2,12,0,0,0,398
10,9,1,2,5,2,0,0,227
4,0,4,1,54,0,0,0,870
61,44,17,6,97,1,0,0,108
19,7,12,2,22,1,0,0,699
17,7,10,3,22,2,0,0,402
4,2,2,2,97,0,0,0,246
26,21,5,1,117,1,0,0,415
96,69,27,3,91,0,0,0.00441501103752759,453
12,6,6,1,79,1,0,0,430
10,4,6,2,48,0,0,0,300
114,110,4,2,3,1,0,0,98
293,169,124,2,63,1,0,0.00104275286757039,1918
0,0,0,1,39,0,0,0,0
0,0,0,1,39,0,0,0,0
9,6,3,2,7,0,0,0.00159616919393456,1253
22,22,0,1,67,0,0,0,158
76,74,2,3,78,1,0,0.00480769230769231,208
10,10,0,1,113,0,0,0.0175097276264591,514
20,16,4,2,12,1,0,0,390
24,24,0,1,113,0,0,0,358
6,3,3,2,79,1,0,0,1265
231,213,18,11,85,4,0,0.00701754385964912,285
12,7,5,2,0,2,0,0.00183654729109275,1089
6,3,3,3,20,1,0,0,426
5,5,0,1,18,0,0,0,218
2,1,1,1,55,0,0,0,506
18,13,5,3,8,1,0,0,459
2,1,1,1,102,1,0,0,1084
10,4,6,1,100,1,0,0,330
39,34,5,1,42,1,0,0,417
6,4,2,2,7,0,0,0,363
33,31,2,4,18,2,0,0,159
32,17,15,1,44,1,0,0.00230414746543779,434
10,5,5,2,8,0,0,0.00602409638554217,166
5,3,2,1,63,1,0,0,237
128,121,7,7,72,1,0,0.00529100529100529,189
9,8,1,3,79,1,0,0,65
0,0,0,1,84,0,0,0,11
18,15,3,2,56,0,0,0,101
45,37,8,1,84,0,0,0,86
77,34,43,2,84,0,0,0,95
0,0,0,1,34,0,0,0,0
0,0,0,1,29,0,0,0,0
0,0,0,1,33,0,0,0,0
0,0,0,1,29,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,29,1,0,0,0
0,0,0,1,29,0,0,0,0
0,0,0,1,29,0,0,0,0
0,0,0,1,29,0,0,0,0
0,0,0,1,29,0,0,0,0
0,0,0,1,29,0,0,0,0
693,509,184,13,26,7,0,0.00173110213502597,1733
96,39,57,1,84,0,0,0,102
0,0,0,1,14,0,0,0,0
0,0,0,1,83,1,0,0,103
0,0,0,1,6,0,0,0,0
0,0,0,1,83,0,0,0,82
0,0,0,1,79,1,0,0.0102040816326531,98
2,1,1,2,22,1,0,0,100
310,122,188,7,54,0,0,0.00578034682080925,173
1847,1413,434,15,0,2,0,0,0
635,176,459,11,7,2,0,0.00433839479392625,461
841,840,1,18,0,1,0,0,639
148,148,0,17,0,1,0,0,114
1148,903,245,13,28,3,0,0,0
73,67,6,11,0,2,0,0,291
837,745,92,26,0,1,0,0.0173160173160173,462
50,43,7,6,0,1,0,0.111111111111111,36
69,55,14,4,28,1,0,0,0
328,123,205,17,25,5,0,0,205
1497,1104,393,16,0,2,0,0.0155642023346304,1028
35,6,29,2,57,2,0,0,539
39,20,19,1,95,0,0,0,464
31,29,2,2,42,1,0,0,233
10,5,5,2,53,2,0,0,222
22,13,9,2,109,0,0,0,33
2,1,1,2,105,0,0,0,39
66,28,38,5,55,0,0,0.00163132137030995,613
21,18,3,5,55,0,0,0,582
2,1,1,1,108,0,0,0.00065359477124183,1530
0,0,0,1,105,0,0,0,46
16,15,1,4,54,0,0,0,332
15,15,0,1,55,0,0,0,69
9,8,1,1,96,1,0,0,124
145,145,0,1,55,0,0,0,1080
57,40,17,1,113,0,0,0,78
112,83,29,8,77,3,0,0.00246913580246914,405
2115,765,1350,35,69,10,2,0,388
201,120,81,25,70,5,0,0,114
4,2,2,2,70,0,0,0.0105263157894737,95
92,75,17,17,70,2,0,0,85
684,544,140,35,8,4,1,0,1147
54,28,26,5,69,0,0,0,641
411,265,146,23,70,4,0,0,0
70,59,11,8,0,1,0,0,151
221,205,16,14,70,1,1,0,283
55,44,11,3,28,3,0,0.000550964187327824,1815
2,1,1,1,109,1,0,0,118
643,441,202,5,21,3,0,0.000626174076393237,1597
3,3,0,2,21,1,0,0,133
5,2,3,2,21,1,0,0,0
68,45,23,9,12,6,0,0,910
5,5,0,1,34,1,0,0,2492
12,10,2,2,4,2,0,0.000577367205542725,1732
3,2,1,1,75,0,0,0,1151
24,17,7,2,42,2,0,0,348
19,15,4,3,11,2,0,0,1472
132,125,7,9,0,4,0,0.000863557858376511,3474
