CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
14629,8138,6491,2,83,2,0,0,8625
142,93,49,8,46,1,0,0,124
136,91,45,8,46,1,0,0,125
156,103,53,6,46,1,0,0,156
149,96,53,6,46,1,0,0,123
2,2,0,1,130,0,0,0,14
0,0,0,1,130,0,0,0,20
2,2,0,1,130,0,0,0,14
0,0,0,1,130,0,0,0,20
10,0,10,1,36,1,0,0.0175438596491228,57
30,15,15,1,98,0,0,0.0416666666666667,24
16,8,8,1,126,0,0,0,286
10,5,5,1,126,0,0,0,187
14,7,7,1,126,0,0,0,105
10,5,5,1,126,0,0,0,83
2,1,1,1,126,0,0,0,72
17,12,5,1,110,0,0,0,64
0,0,0,1,110,0,0,0,28
2,1,1,1,22,0,0,0,60
2,1,1,1,22,0,0,0.024390243902439,41
9,6,3,1,22,0,0,0,250
62,34,28,7,49,0,0,0,74
62,34,28,7,49,0,0,0,87
273,182,91,14,49,0,0,0.00588235294117647,170
148,76,72,8,49,0,0,0,162
35,13,22,8,43,1,0,0,185
425,229,196,9,49,0,0,0,283
1238,674,564,12,48,1,0,0,1162
69,45,24,8,43,0,0,0,63
101,54,47,7,49,0,0,0,139
2,2,0,2,120,0,0,0,28
110,59,51,7,49,0,0,0,172
128,85,43,8,49,0,0,0,126
1,1,0,3,140,0,0,0,0
18,9,9,3,74,0,0,0,28
3,0,3,2,160,0,0,0,35
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
2,1,1,3,118,0,0,0,0
0,0,0,2,118,0,0,0,0
449,370,79,9,118,0,0,0,0
0,0,0,2,118,0,0,0,0
2,1,1,3,118,0,0,0,0
0,0,0,2,118,0,0,0,0
275,219,56,3,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
31,31,0,3,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
3,2,1,3,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
309,266,43,5,118,0,0,0,0
0,0,0,2,118,0,0,0,0
12,6,6,5,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,2,118,0,0,0,0
201,178,23,6,118,0,0,0,0
0,0,0,2,118,0,0,0,0
0,0,0,1,161,0,0,0,14
287,163,124,7,46,1,0,0,186
325,192,133,7,46,1,0,0,225
891,501,390,9,46,1,0,0.00166944908180301,599
517,291,226,7,46,1,0,0,370
150,104,46,11,46,0,0,0,137
1022,545,477,7,46,1,0,0.00165837479270315,603
6,3,3,4,49,0,0,0,22
6,3,3,4,49,0,0,0,23
2,1,1,2,70,0,0,0,49
30,15,15,4,49,0,0,0,22
30,15,15,4,49,0,0,0,22
9,4,5,4,49,0,0,0,16
42,21,21,4,49,0,0,0,26
36,18,18,4,49,0,0,0,23
6,3,3,4,49,0,0,0,18
4467,2329,2138,9,27,1,0,0,2615
276,182,94,10,43,2,0,0,193
413,231,182,8,46,2,0,0.003003003003003,333
430,252,178,8,27,1,0,0.00277008310249307,361
669,386,283,9,14,3,0,0,429
87,52,35,3,46,0,0,0,0
1069,543,526,4,46,0,0,0,0
6,4,2,3,43,0,0,0,163
54,31,23,3,43,0,0,0,111
1,1,0,2,43,0,0,0.0016025641025641,624
143,76,67,3,43,0,0,0,105
158,79,79,3,43,0,0,0,109
465,258,207,3,43,0,0,0,284
464,258,206,3,43,0,0,0,285
228,120,108,3,43,0,0,0,141
183,120,63,2,46,0,0,0,140
97,50,47,4,43,0,0,0,77
291,151,140,3,43,0,0,0,171
22,13,9,4,43,0,0,0,63
0,0,0,1,43,0,0,0,68
0,0,0,1,43,0,0,0,104
110,54,56,3,43,0,0,0,81
37,19,18,3,43,0,0,0,41
187,93,94,3,43,0,0,0,125
82,43,39,3,43,0,0,0,63
0,0,0,1,110,0,0,0,28
19,10,9,3,74,0,0,0,31
18,9,9,2,96,0,0,0,41
154,106,48,6,50,1,0,0.00704225352112676,142
239,162,77,6,50,1,0,0,186
165,111,54,6,50,1,0,0,141
203,138,65,6,50,1,0,0,171
157,108,49,6,50,1,0,0,143
219,148,71,6,50,1,0,0,175
0,0,0,1,76,0,0,0,0
0,0,0,1,76,0,0,0,0
3,2,1,2,74,0,0,0,27
5,2,3,1,96,0,0,0,31
149,92,57,2,47,1,0,0,206
3,2,1,2,74,0,0,0,30
3,2,1,2,74,0,0,0,29
3,2,1,2,74,0,0,0,31
3,2,1,2,74,0,0,0,29
3,2,1,2,74,0,0,0,40
5,2,3,1,96,0,0,0,33
5,2,3,1,96,0,0,0,29
5,2,3,1,96,0,0,0,39
5,2,3,1,96,0,0,0,32
2,1,1,1,75,0,0,0,64
51,43,8,1,54,0,0,0,182
53,44,9,1,54,0,0,0,184
