CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
2,1,1,2,9,2,0,0,57
137,76,61,3,9,2,1,0,170
8,1,7,2,10,1,0,0,105
45,23,22,2,9,2,0,0,101
0,0,0,1,55,1,0,0,48
0,0,0,1,55,1,0,0,30
3,1,2,2,9,2,1,0,30
0,0,0,1,55,1,0,0,49
0,0,0,1,55,1,0,0,48
40,18,22,4,9,3,1,0,71
0,0,0,1,55,1,0,0,65
0,0,0,1,55,1,0,0,48
0,0,0,1,55,1,0,0,35
4,3,1,2,9,2,0,0,57
0,0,0,1,55,1,0,0,49
48,45,3,3,9,2,0,0,175
0,0,0,1,55,1,0,0,38
0,0,0,1,55,1,0,0,126
138,71,67,4,9,4,1,0,411
0,0,0,1,55,1,0,0,31
0,0,0,1,55,1,0,0.0117647058823529,170
0,0,0,1,55,1,0,0,45
0,0,0,1,55,1,0,0.0113636363636364,88
0,0,0,1,55,1,0,0,42
207,112,95,5,9,5,0,0.00738007380073801,542
39,32,7,2,9,2,0,0,140
30,21,9,5,9,4,0,0.0158730158730159,126
119,72,47,5,9,5,0,0.00505050505050505,396
11,7,4,2,9,2,0,0,46
40,21,19,2,10,1,0,0,72
5,3,2,3,9,2,0,0.00657894736842105,152
0,0,0,1,55,1,0,0,30
0,0,0,1,55,1,0,0,31
0,0,0,1,55,1,0,0,71
0,0,0,1,55,1,0,0,77
4,3,1,2,9,2,0,0,52
0,0,0,1,55,1,0,0,32
0,0,0,1,55,1,0,0,45
0,0,0,1,55,1,0,0.00793650793650794,126
0,0,0,1,55,1,0,0,135
0,0,0,1,55,1,0,0,125
0,0,0,1,55,1,0,0,243
0,0,0,1,55,1,0,0,124
2,0,2,2,9,2,0,0,136
80,40,40,2,9,2,1,0,638
14,7,7,3,9,3,1,0,296
0,0,0,1,55,1,0,0,137
0,0,0,1,55,1,0,0.0224719101123595,89
8,4,4,2,9,2,1,0,208
36,26,10,3,9,3,0,0.00323624595469256,309
0,0,0,1,55,1,0,0,46
185,123,62,3,9,3,0,0,248
48,19,29,6,9,5,1,0.00240963855421687,415
0,0,0,1,55,1,0,0,37
0,0,0,1,55,1,0,0,204
0,0,0,1,55,1,0,0,40
0,0,0,1,55,1,0,0.00523560209424084,191
0,0,0,1,39,1,0,0,0
0,0,0,1,39,1,0,0,0
0,0,0,1,39,1,0,0,0
4,2,2,2,39,1,0,0,0
0,0,0,1,39,1,0,0,0
0,0,0,1,39,1,0,0,0
20,10,10,2,29,1,0,0,275
14,7,7,2,29,1,0,0,356
6,1,5,1,28,0,0,0,167
6,1,5,1,28,0,0,0,45
12,6,6,2,29,1,0,0,237
20,10,10,2,29,1,0,0,261
15,6,9,3,16,3,0,0,0
15,6,9,3,16,3,0,0,0
23,8,15,3,16,3,0,0,0
10,5,5,3,16,3,0,0,0
7,2,5,3,16,3,0,0,0
14,6,8,3,16,3,0,0,0
6,3,3,3,16,3,0,0,0
3,1,2,3,16,3,0,0,0
11,7,4,3,16,3,0,0,0
10,5,5,3,16,3,0,0,0
4,1,3,3,16,3,0,0,0
0,0,0,2,16,2,0,0,0
0,0,0,2,16,2,0,0,0
1,0,1,3,16,2,0,0,0
0,0,0,2,16,2,0,0,0
0,0,0,2,16,2,0,0,0
0,0,0,2,16,2,0,0,0
4,1,3,3,16,3,0,0,0
3,1,2,3,16,3,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
17,3,14,3,21,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
14,1,13,4,21,3,0,0,0
43,20,23,3,21,2,0,0,0
55,15,40,3,21,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,21,1,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,21,1,0,0,0
0,0,0,2,21,1,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
4,2,2,3,21,2,0,0,0
19,5,14,3,21,2,0,0,0
5,2,3,3,21,2,0,0,0
98,36,62,3,21,2,0,0,0
115,34,81,3,21,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,21,1,0,0,0
33,8,25,4,21,3,0,0,0
25,5,20,3,21,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,35,2,0,0,0
0,0,0,2,21,1,0,0,0
0,0,0,2,21,1,0,0,0
2,1,1,3,21,2,0,0,0
0,0,0,2,39,2,0,0,0
0,0,0,2,39,2,0,0,0
0,0,0,2,39,2,0,0,0
0,0,0,2,39,2,0,0,0
0,0,0,2,39,2,0,0,0
0,0,0,2,39,2,0,0,0
0,0,0,1,21,0,0,0.0048780487804878,205
0,0,0,1,21,0,0,0,132
0,0,0,1,21,0,0,0,116
0,0,0,1,21,0,0,0,105
0,0,0,1,21,0,0,0,63
0,0,0,1,21,0,0,0.0111111111111111,90
0,0,0,1,21,0,0,0,102
0,0,0,1,21,0,0,0,77
0,0,0,1,21,0,0,0,332
0,0,0,1,21,0,0,0,245
0,0,0,1,21,0,0,0,35
0,0,0,1,21,0,0,0,88
0,0,0,1,21,0,0,0,47
0,0,0,1,21,0,0,0,128
0,0,0,1,21,0,0,0,90
0,0,0,1,21,0,0,0,71
1,1,0,2,21,1,1,0.0131578947368421,76
61,50,11,3,21,3,1,0,0
0,0,0,1,68,1,0,0.0476190476190476,21
0,0,0,1,68,1,0,0.012987012987013,77
0,0,0,1,21,1,1,0.0185185185185185,54
64,30,34,2,21,1,1,0,0
21,14,7,5,28,3,0,0.0434782608695652,46
4,4,0,1,132,1,0,0.0625,32
12,7,5,4,28,2,0,0.0625,32
0,0,0,1,21,1,1,0.00961538461538462,104
45,37,8,3,21,3,1,0,0
121,41,80,3,21,2,1,0.00900900900900901,111
0,0,0,1,21,1,1,0.00671140939597315,149
0,0,0,1,21,1,1,0,0
0,0,0,2,98,1,0,0,0
20,5,15,4,20,2,0,0,0
0,0,0,1,20,1,0,0.116666666666667,60
9,9,0,2,68,2,0,0.0147058823529412,68
0,0,0,1,20,1,0,0.0166666666666667,60
67,33,34,4,56,2,0,0,82
4,2,2,1,56,0,0,0,47
10,7,3,2,56,2,0,0,52
4,4,0,2,56,2,0,0,22
27,24,3,1,56,1,0,0,84
15,1,14,1,56,1,0,0,55
161,105,56,2,21,2,1,0.00584795321637427,171
24,9,15,2,28,1,0,0,42
10,7,3,2,56,2,0,0,52
10,7,3,2,56,2,0,0,51
4,3,1,2,3,2,1,0,17
0,0,0,1,23,0,1,0,27
10,9,1,1,29,1,0,0,56
11,11,0,1,29,1,0,0.0126582278481013,79
10,7,3,2,56,2,0,0,51
0,0,0,1,32,1,1,0,18
5,4,1,2,24,1,0,0,61
4,2,2,1,75,1,0,0,51
1,1,0,1,0,1,0,0,29
1,1,0,1,0,1,0,0,52
1,1,0,1,0,1,0,0,68
13,3,10,2,0,1,0,0,135
1,1,0,1,0,1,0,0,252
1,1,0,1,0,1,0,0,65
1,1,0,1,0,1,0,0,42
1,1,0,1,0,1,0,0,53
1,1,0,1,0,1,0,0,116
1,1,0,1,0,1,0,0,62
1,1,0,1,0,1,0,0,73
1,1,0,1,0,1,0,0,345
1,1,0,1,0,1,0,0,62
1,1,0,1,0,1,0,0,134
1,1,0,1,0,1,0,0,153
1,1,0,1,0,1,0,0,151
1,1,0,1,0,1,0,0,69
1,1,0,1,0,1,0,0,108
1,1,0,1,0,1,0,0,58
1,1,0,1,0,1,0,0,400
1,1,0,1,0,1,0,0,464
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
15,8,7,3,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
4,2,2,2,55,2,0,0,0
0,0,0,1,55,1,0,0,0
26,14,12,3,55,1,0,0,0
0,0,0,1,55,1,0,0,0
10,8,2,2,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
18,9,9,2,55,1,0,0,0
2,1,1,2,55,1,0,0,0
2,1,1,2,55,1,0,0,0
0,0,0,1,55,1,0,0,0
6,4,2,2,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
3,2,1,2,55,1,0,0,0
0,0,0,1,55,1,0,0,0
0,0,0,1,55,1,0,0,0
21,9,12,2,55,1,0,0,0
6,1,5,2,55,1,0,0,0
116,59,57,3,55,2,0,0,0
100,53,47,3,55,2,0,0,0
3,1,2,1,59,0,0,0,59
