CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
6,3,3,3,6,0,0,0,8
0,0,0,6,29,0,0,0,0
207,147,60,6,28,0,0,0.0486486486486487,185
9,6,3,9,29,0,0,0,0
0,0,0,3,30,0,0,0,179
0,0,0,3,30,0,0,0,465
0,0,0,3,30,0,0,0,297
0,0,0,3,30,0,0,0,113
33,30,3,6,3,0,0,0,421
0,0,0,3,30,0,0,0,115
27,27,0,6,24,0,0,0.105,200
0,0,0,3,56,0,0,0,56
0,0,0,3,56,0,0,0,98
12,12,0,3,56,0,0,0,514
0,0,0,3,56,0,0,0,141
0,0,0,3,7,0,0,0,52
0,0,0,3,7,0,0,0,57
0,0,0,3,7,0,0,0.0258620689655172,116
0,0,0,3,7,0,0,0.0789473684210526,76
99,60,39,9,3,3,0,0,257
0,0,0,3,7,0,0,0.0947368421052632,95
120,120,0,6,8,0,0,0,48
105,105,0,6,8,0,0,0,175
213,117,96,6,8,0,0,0,102
123,123,0,6,8,0,0,0,95
0,0,0,3,70,0,0,0,62
0,0,0,3,70,0,0,0,46
0,0,0,3,70,0,0,0,74
0,0,0,3,70,0,0,0,126
0,0,0,3,70,0,0,0,41
0,0,0,3,70,0,0,0,52
0,0,0,3,70,0,0,0,261
0,0,0,3,70,0,0,0,138
0,0,0,3,70,0,0,0,68
0,0,0,3,70,0,0,0,95
0,0,0,3,70,0,0,0.0526315789473684,57
6,3,3,6,66,3,0,0,14
0,0,0,3,70,0,0,0.0508474576271186,59
18,9,9,6,9,3,0,0,93
0,0,0,3,70,0,0,0,54
0,0,0,3,70,0,0,0,280
0,0,0,3,70,0,0,0,41
0,0,0,3,70,0,0,0,144
0,0,0,3,70,0,0,0,56
0,0,0,3,70,0,0,0,82
0,0,0,3,70,0,0,0,213
0,0,0,3,70,0,0,0,4452
0,0,0,3,70,0,0,0,166
0,0,0,3,70,0,0,0,1405
0,0,0,3,70,0,0,0,86
0,0,0,3,70,0,0,0,426
0,0,0,3,70,0,0,0,1163
0,0,0,3,70,0,0,0,102
0,0,0,3,70,0,0,0,154
0,0,0,3,70,0,0,0,51
0,0,0,3,70,0,0,0,19
0,0,0,3,70,0,0,0,202
0,0,0,3,70,0,0,0,15
0,0,0,3,70,0,0,0,16
0,0,0,3,70,0,0,0,6
0,0,0,3,70,0,0,0,6
0,0,0,3,70,0,0,0,90
0,0,0,3,70,0,0,0,90
0,0,0,3,70,0,0,0,90
0,0,0,3,70,0,0,0,90
0,0,0,3,70,0,0,0.0337078651685393,89
0,0,0,3,70,0,0,0,5
0,0,0,3,70,0,0,0.0454545454545455,66
147,120,27,9,3,0,0,0.00352941176470588,850
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,68,3,0,0,52
60,24,36,6,7,0,0,0,287
0,0,0,3,69,0,0,0,158
0,0,0,3,69,0,0,0,55
0,0,0,3,69,0,0,0,71
0,0,0,3,65,0,0,0,70
0,0,0,3,65,0,0,0,47
0,0,0,3,69,0,0,0,47
0,0,0,3,68,3,0,0,438
0,0,0,3,68,3,0,0,50
0,0,0,3,68,3,0,0,93
0,0,0,3,68,3,0,0,134
0,0,0,3,68,3,0,0,399
0,0,0,3,68,3,0,0,74
0,0,0,3,68,3,0,0,97
0,0,0,3,68,3,0,0,264
0,0,0,3,68,3,0,0,47
0,0,0,3,68,3,0,0,52
0,0,0,3,68,3,0,0,70
0,0,0,3,68,3,0,0,48
0,0,0,3,68,3,0,0,174
57,0,57,6,59,3,0,0,274
0,0,0,3,68,3,0,0,246
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
0,0,0,3,70,0,0,0,0
27,15,12,3,24,0,3,0,604
27,15,12,3,24,0,3,0,218
9,6,3,3,24,0,3,0,92
282,0,282,3,24,0,3,0,49
15,9,6,3,24,0,3,0,64
0,0,0,3,68,3,0,0.0142857142857143,210
27,15,12,3,24,0,3,0,301
501,231,270,6,24,0,3,0,757
15,9,6,3,24,0,3,0,70
0,0,0,3,7,0,0,0.2,15
6,6,0,3,8,0,0,0,40
12,6,6,3,8,0,0,0,38
30,24,6,3,84,0,0,0.0405405405405405,74
0,0,0,3,87,0,0,0,50
0,0,0,3,70,0,0,0,203
6,3,3,3,66,3,0,0,313
138,75,63,3,8,0,0,0,220
15,15,0,3,8,0,0,0.0625,48
27,21,6,3,8,0,0,0,49
123,42,81,6,35,3,0,0.0107913669064748,556
36,18,18,6,66,6,0,0,709
6,3,3,3,70,0,0,0,81
246,114,132,6,9,6,0,0.00689655172413793,435
45,21,24,9,64,6,0,0.00131636682755595,2279
0,0,0,3,24,3,0,0,48
0,0,0,3,64,0,0,0,50
0,0,0,6,24,3,0,0,0
69,36,33,3,24,3,0,0,542
81,72,9,6,62,3,0,0,96
111,75,36,3,84,0,0,0,591
54,30,24,3,3,3,0,0,374
18,15,3,3,3,3,0,0,76
6,3,3,3,71,0,0,0,408
108,69,39,3,3,3,0,0.016,375
3,3,0,3,3,3,0,0,46
18,18,0,3,3,3,0,0,82
12,9,3,3,3,3,0,0,56
39,39,0,3,3,3,0,0,144
0,0,0,3,63,3,0,0,0
18,15,3,6,63,0,0,0.00753768844221105,398
105,72,33,3,3,3,0,0.00748129675810474,401
432,198,234,3,35,3,0,0.00883218842001963,1019
6,6,0,3,66,0,0,0,66
6,3,3,6,30,3,0,0,0
903,438,465,12,30,6,0,0,0
312,168,144,6,30,3,0,0,0
0,0,0,6,30,3,0,0,0
0,0,0,6,30,3,0,0,0
0,0,0,6,30,3,0,0,0
291,213,78,9,3,0,0,0,1040
0,0,0,3,7,0,0,0.115384615384615,52
0,0,0,3,7,0,0,0.13953488372093,43
117,105,12,12,3,3,0,0.00958466453674121,626
42,39,3,6,8,0,0,0,641
24,15,9,3,69,3,0,0.0152671755725191,393
