CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
45,29,16,3,77,0,0,0.00219106047326906,2282
41,39,2,2,37,0,0,0.000788643533123028,1268
21,13,8,3,63,1,0,0,208
6,4,2,1,114,1,0,0,557
270,157,113,15,11,5,0,0,2202
83,47,36,2,32,0,0,0.00166500166500167,3003
38,28,10,1,75,1,0,0.000959692898272553,1042
182,139,43,3,3,3,0,0.00373134328358209,2412
40,27,13,2,57,0,0,0.00171821305841924,582
850,510,340,14,6,7,0,0.00232468035645099,5162
56,52,4,2,0,2,0,0.00128865979381443,1552
7,6,1,1,0,1,0,0.00113378684807256,1764
87,78,9,3,0,3,0,0.00365764447695684,1367
115,90,25,10,0,3,0,0.00194552529182879,1028
630,354,276,22,10,4,0,0.00225069252077562,5776
54,33,21,3,86,3,0,0.00347624565469293,1726
15,10,5,3,100,2,1,0,71
31,27,4,3,97,1,0,0.00597014925373134,335
6,4,2,1,108,1,0,0,210
4,1,3,1,100,0,0,0,166
17,13,4,2,7,1,0,0.00448430493273543,223
3,2,1,1,150,0,0,0,91
5,4,1,1,157,0,0,0,256
34,17,17,8,0,0,0,0,15
31,28,3,2,166,1,0,0,186
46,37,9,2,164,2,0,0,323
184,84,100,10,0,5,0,0.00296833773087071,3032
30,19,11,3,122,1,0,0.00164473684210526,608
310,184,126,12,0,5,0,0.00180686609114636,4981
47,31,16,2,32,0,0,0.00221075902726603,1357
4,3,1,1,114,0,0,0.00137741046831956,726
62,42,20,1,50,1,0,0,1173
129,109,20,7,0,5,0,0.00340425531914894,1175
6,3,3,1,0,1,0,0,373
180,136,44,8,10,1,0,0,901
23,20,3,1,2,1,0,0.00434782608695652,1380
26,15,11,2,59,1,0,0.00351288056206089,2562
322,229,93,15,32,9,1,0.00161759948236817,3091
152,81,71,7,0,3,0,0.00265076209410205,1509
6,4,2,1,124,0,0,0,252
7,4,3,1,32,0,0,0.00125786163522013,1590
343,212,131,10,64,8,1,0,1383
295,204,91,13,28,6,0,0.00285714285714286,3150
106,71,35,2,166,1,0,0.014792899408284,338
114,81,33,9,8,2,0,0.0022883295194508,437
169,110,59,6,24,1,0,0.00106269925611052,3764
9,4,5,1,124,0,0,0,144
95,28,67,5,63,1,0,0.0016246953696182,1231
52,22,30,4,51,2,0,0.00461538461538462,650
252,157,95,19,22,5,0,0.0032797638570023,3049
27,21,6,2,60,1,0,0,292
11,8,3,1,124,0,0,0,848
217,157,60,5,80,3,0,0.000797448165869219,1254
17,7,10,1,154,0,0,0.00160513643659711,623
111,80,31,4,124,1,0,0,736
16,11,5,1,32,0,0,0,285
18,13,5,1,132,0,0,0,298
50,34,16,3,9,0,0,0,1002
43,29,14,2,14,0,0,0.00137931034482759,725
14,9,5,1,46,1,0,0,1081
13,7,6,2,157,0,0,0,328
40,26,14,1,124,0,0,0,479
18,11,7,3,51,0,0,0.00293255131964809,341
0,0,0,1,122,0,0,0,410
0,0,0,1,122,0,0,0,461
