CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,113,0,0,0,27
3,2,1,1,59,0,0,0,296
38,36,2,3,58,0,0,0,1706
115,89,26,3,53,0,0,0,2362
53,40,13,6,108,1,0,0.000730193501277839,2739
321,319,2,4,8,0,0,0.000202347227842979,4942
2119,908,1211,27,32,3,0,0.000434216239687364,2303
120,81,39,3,135,1,0,0.00655737704918033,305
111,88,23,7,36,1,0,0,930
7,4,3,1,3,1,0,0,189
178,146,32,14,17,6,0,0.00436363636363636,1375
293,217,76,12,78,4,0,0.00437723836052527,2513
326,309,17,12,14,2,0,0.00315955766192733,1266
14,7,7,2,7,1,0,0,1001
8,3,5,3,9,2,0,0,1072
2,1,1,1,163,1,0,0,438
77,71,6,5,19,2,0,0,662
53,16,37,3,69,1,0,0.0018450184501845,542
5,4,1,1,110,0,0,0.00716845878136201,279
1,1,0,1,61,0,0,0,208
6,3,3,2,18,2,0,0.00558659217877095,179
8,8,0,1,61,0,0,0,497
9,5,4,2,139,0,0,0,1306
1,0,1,1,52,0,0,0,846
2,1,1,1,123,1,0,0,207
4,2,2,2,107,2,0,0,738
13,7,6,4,5,1,0,0,2333
20,10,10,3,135,1,0,0,2576
4,2,2,1,163,1,0,0,1166
9,4,5,2,129,0,0,0,218
2,1,1,1,137,0,0,0,518
2,1,1,1,163,1,0,0.00103199174406605,969
8,4,4,3,135,1,0,0,1351
65,30,35,4,126,0,0,0,326
31,27,4,4,126,0,0,0,53
35,18,17,4,25,0,0,0,213
46,22,24,3,126,0,0,0,157
70,35,35,7,0,3,0,0.00198019801980198,505
8,8,0,1,137,0,0,0,504
12,8,4,1,135,0,0,0.00308641975308642,324
4,4,0,1,179,1,0,0.00267379679144385,374
30,15,15,4,137,3,0,0.000349162011173184,2864
114,60,54,7,9,4,0,0.000666888962987663,2999
2,1,1,1,163,1,0,0,691
134,102,32,4,63,2,0,0,650
2,1,1,1,58,0,0,0,277
144,81,63,12,107,2,0,0,993
86,36,50,5,52,2,0,0.000855798031664527,2337
1,1,0,1,94,0,0,0,262
2,1,1,1,156,1,0,0,1176
40,25,15,3,44,2,0,0,1639
59,35,24,2,126,0,0,0,1414
7,4,3,1,8,0,0,0.000463606861381548,2157
2,1,1,1,156,1,0,0,77
9,9,0,1,4,0,0,0,621
343,248,95,22,3,9,0,9.68335431393435e-05,10327
10,4,6,3,76,1,0,0.000950570342205323,2104
13,6,7,2,65,1,0,0,1379
63,29,34,6,76,3,0,0,3827
523,319,204,15,76,5,0,0,3765
23,8,15,5,78,2,0,0.000702740688685875,1423
8,3,5,1,73,0,0,0.000558347292015634,1791
78,29,49,4,52,2,0,0.000302755071147442,3303
24,19,5,1,143,0,0,0.0200803212851406,249
33,31,2,4,126,1,0,0,596
4,1,3,2,110,1,0,0.00219298245614035,456
26,21,5,3,52,2,0,0.000643915003219575,1553
209,194,15,9,14,3,0,0.00322061191626409,1242
25,20,5,3,107,1,0,0.00512820512820513,1170
14,13,1,1,143,0,0,0,230
61,59,2,4,109,0,0,0,885
51,43,8,3,107,2,0,0.000856898029134533,1167
173,173,0,1,85,0,0,0,241
15,14,1,1,143,0,0,0.00280112044817927,714
69,32,37,11,36,6,0,0,7202
92,69,23,4,6,0,0,0,2887
19,7,12,6,61,3,0,0.000516262261228704,1937
62,21,41,10,18,4,0,0.000342524404863847,5839
35,33,2,2,77,1,0,0,1123
8,8,0,2,8,0,0,0,240
2,2,0,1,8,0,0,0,184
113,64,49,8,135,3,0,0,1383
2,1,1,1,135,1,0,0,476
155,57,98,6,8,3,0,0,4020
4,2,2,1,135,1,0,0.00190839694656489,524
96,51,45,3,72,0,0,0.00107066381156317,934
2,1,1,1,174,0,0,0,561
22,10,12,3,109,1,0,0.00160128102481986,1249
309,196,113,13,74,2,0,0.000265392781316348,3768
45,32,13,2,7,0,0,0.0296296296296296,135
6,2,4,3,18,1,0,0,310
5,3,2,2,156,0,0,0.0012531328320802,798
64,45,19,3,33,1,0,0.000386398763523957,2588
14,6,8,2,63,0,0,0.00275785990071704,1813
2,1,1,1,177,0,0,0.00320512820512821,312
22,10,12,1,177,0,0,0.00188679245283019,530
2,1,1,1,177,0,0,0.00265957446808511,376
5,5,0,1,173,0,0,0.00595238095238095,168
3,3,0,1,147,0,0,0.000428082191780822,4672
19,12,7,5,33,2,0,0.000504795557799091,3962
17,14,3,2,165,1,0,0,255
100,75,25,6,59,1,0,0.00191277735271614,2614
43,35,8,3,74,0,0,0.000630119722747322,1587
2,1,1,1,135,1,0,0.00194931773879142,513
4,4,0,1,59,0,0,0,939
6,3,3,1,135,0,0,0,652
35,14,21,3,63,1,0,0,1358
54,30,24,6,33,2,0,0.00167000668002672,2994
47,46,1,3,33,2,0,0.00167336010709505,5976
21,19,2,3,94,1,0,0.0026246719160105,2667
47,39,8,3,50,1,0,0.00340136054421769,588
30,23,7,2,23,2,0,0.00409836065573771,244
2,1,1,1,135,1,0,0.000503018108651912,1988
62,60,2,4,52,1,0,0.00961538461538462,104
11,0,11,1,39,0,0,0.00068870523415978,1452
0,0,0,1,78,0,0,0.0652173913043478,46
2,1,1,1,135,1,0,0,107
2,1,1,1,52,1,0,0,155
5,5,0,1,3,0,0,0,140
113,57,56,4,92,2,0,0,671
44,28,16,8,53,4,0,0.000896057347670251,2232
6,3,3,3,92,2,0,0,507
2,1,1,1,93,1,0,0,96
160,154,6,6,64,5,0,0.000740740740740741,1350
4,2,2,2,23,1,0,0.0033112582781457,302
2,1,1,1,23,0,0,0,150
514,437,77,10,2,3,0,0,1351
2,1,1,1,23,0,0,0,147
4,2,2,2,92,1,0,0,340
2,1,1,1,120,0,0,0,376
27,22,5,3,3,0,0,0,160
269,136,133,6,93,1,0,0,589
485,368,117,9,84,2,0,0.0011454753722795,1746
95,72,23,3,101,0,0,0,615
2,1,1,1,120,0,0,0,246
18,9,9,1,120,0,0,0,244
2,1,1,1,120,0,0,0,189
8,4,4,2,93,1,0,0.00518134715025907,193
6,3,3,1,120,0,0,0,291
5,4,1,3,3,0,0,0,205
448,387,61,14,16,6,0,0.001434034416826,2092
2,1,1,1,23,0,0,0,234
7,5,2,2,23,0,0,0.0013531799729364,1478
4,2,2,2,23,1,0,0,399
53,49,4,3,23,0,0,0,260
2,1,1,1,23,0,0,0,824
3767,3474,293,66,2,18,0,0.000745791604517366,9386
2,1,1,1,23,0,0,0,145
2,1,1,1,120,0,0,0,366
2,1,1,1,120,0,0,0,243
18,9,9,3,120,0,0,0.00477326968973747,419
18,9,9,1,120,0,0,0.00411522633744856,243
2,1,1,1,120,0,0,0,279
4,2,2,1,118,1,0,0,337
4,2,2,1,143,1,0,0,118
91,49,42,3,97,1,0,0,1345
3,2,1,2,17,1,0,0.000764525993883792,1308
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
15,14,1,3,101,1,0,0,66
15,14,1,3,101,1,0,0,66
14,13,1,3,101,1,0,0,65
14,13,1,3,101,1,0,0,65
34,33,1,6,101,1,0,0,85
0,0,0,1,105,0,0,0,40
0,0,0,1,105,0,0,0,268
0,0,0,1,98,0,0,0.00512820512820513,195
0,0,0,1,98,0,0,0.0112994350282486,177
0,0,0,1,95,0,0,0,65
12,10,2,1,162,0,0,0.0015527950310559,644
18,12,6,3,63,1,0,0,615
142,96,46,9,33,1,0,0.000438981562774363,2278
28,0,28,1,58,0,0,0,375
244,163,81,10,119,1,0,0.00107991360691145,926
11,8,3,3,33,3,0,0,1018
140,107,33,14,58,1,0,0.0011446012972148,2621
10,5,5,1,162,1,0,0,557
88,72,16,4,76,1,0,0,475
27,15,12,7,5,4,0,0.000652315720808871,1533
75,65,10,3,8,0,0,0.00117096018735363,1708
33,25,8,4,121,0,0,0.00113765642775882,879
