CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
118,76,42,3,16,0,0,0.00154559505409583,647
4,2,2,1,50,1,0,0,364
3,1,2,1,86,0,0,0,214
13,6,7,1,86,0,0,0,888
21,11,10,1,43,0,0,0,53
4,2,2,1,86,1,0,0,52
184,127,57,2,16,1,0,0.0022883295194508,437
42,35,7,3,6,0,0,0,779
8,4,4,1,86,0,0,0,253
0,0,0,1,15,0,0,0,0
0,0,0,1,15,0,0,0,0
22,21,1,1,8,0,0,0.00290697674418605,344
7,6,1,1,77,0,0,0.00480769230769231,208
38,30,8,3,6,2,0,0.00130208333333333,768
4,2,2,1,3,0,0,0,503
8,4,4,2,6,0,0,0,218
4,2,2,1,3,0,0,0.00315126050420168,952
22,21,1,1,37,1,0,0,297
6,3,3,1,83,1,0,0,63
48,28,20,2,37,2,0,0,452
110,57,53,1,31,1,0,0,962
8,7,1,1,31,1,0,0,108
17,10,7,2,3,1,0,0,150
13,9,4,2,57,0,0,0,132
7,5,2,1,87,1,0,0.00411522633744856,243
10,5,5,2,51,1,0,0,66
20,12,8,1,15,1,0,0.00826446280991736,363
4,2,2,1,86,1,0,0,49
8,4,4,2,43,1,0,0,314
0,0,0,1,7,0,0,0,344
0,0,0,1,7,0,0,0.00595238095238095,168
4,2,2,1,50,1,0,0,20
6,3,3,1,86,0,0,0,108
3,1,2,1,86,0,0,0,206
7,6,1,1,1,1,0,0.0179640718562874,167
4,2,2,1,86,0,0,0,171
4,2,2,1,86,0,0,0,175
4,2,2,1,86,0,0,0,157
52,21,31,4,59,1,0,0,471
15,9,6,2,31,1,0,0,222
76,63,13,3,31,2,0,0.00121065375302663,826
4,2,2,1,86,0,0,0,175
179,109,70,8,1,7,0,0,1175
4,2,2,1,86,0,0,0,164
19,12,7,2,50,2,0,0.00144717800289436,691
4,2,2,1,86,0,0,0,167
6,3,3,1,86,0,0,0,165
3,2,1,1,37,0,0,0.004,250
6,3,3,1,86,1,0,0,31
0,0,0,1,17,0,0,0,17
10,8,2,2,16,1,0,0.0422535211267606,71
101,88,13,3,16,1,0,0.0478723404255319,188
261,232,29,4,15,2,0,0.00366300366300366,273
44,36,8,4,16,2,0,0.0204081632653061,49
12,6,6,1,86,0,0,0,153
53,5,48,1,31,1,0,0,411
8,4,4,1,86,1,0,0,28
4,2,2,1,88,1,0,0,105
134,133,1,1,15,0,0,0.00210526315789474,475
159,146,13,4,15,2,0,0.00377358490566038,530
8,4,4,1,86,1,0,0,29
72,69,3,1,71,0,0,0,165
6,1,5,1,71,0,0,0.00309597523219814,323
0,0,0,1,71,0,0,0,77
0,0,0,1,71,0,0,0,224
0,0,0,1,71,0,0,0,44
0,0,0,1,71,0,0,0,222
8,4,4,1,86,0,0,0,143
17,10,7,1,76,1,0,0.00552486187845304,181
0,0,0,1,76,1,0,0,174
0,0,0,1,71,0,0,0,303
0,0,0,1,71,0,0,0,32
4,2,2,1,86,1,0,0,18
0,0,0,1,50,0,0,0,182
8,4,4,1,71,1,0,0.00198019801980198,505
23,16,7,2,59,0,0,0,353
51,37,14,2,35,1,0,0,145
0,0,0,1,66,1,0,0,0
34,19,15,1,83,1,0,0,221
0,0,0,1,83,1,0,0,17
25,23,2,1,83,1,0,0,84
13,7,6,3,36,2,0,0.0158730158730159,63
0,0,0,1,86,0,0,0,77
56,55,1,2,81,0,0,0,147
46,21,25,4,59,3,0,0.00355871886120996,281
13,10,3,1,37,1,0,0,378
43,21,22,3,59,2,0,0.00586510263929619,341
22,11,11,2,59,1,0,0.00371747211895911,269
10,5,5,2,59,1,0,0,100
0,0,0,1,17,0,0,0,65
0,0,0,1,17,0,0,0,43
0,0,0,1,17,0,0,0.00510204081632653,196
0,0,0,1,17,0,0,0.015625,64
0,0,0,1,17,0,0,0.0238095238095238,42
0,0,0,1,17,0,0,0,16
64,38,26,2,75,2,0,0,106
35,2,33,1,75,1,0,0,63
10,10,0,1,50,0,0,0,30
4,2,2,1,50,0,0,0,58
8,7,1,1,50,0,0,0,66
8,8,0,1,50,0,0,0,29
43,25,18,2,40,0,0,0.00467289719626168,214
9,6,3,1,25,0,0,0,66
27,9,18,2,33,2,0,0,28
24,8,16,2,33,2,0,0,30
