CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
2,1,1,1,110,1,0,0,167
19,16,3,2,147,2,0,0,415
15,12,3,2,110,2,0,0,117
25,20,5,3,15,2,0,0,449
5,3,2,1,165,1,0,0,318
2,1,1,1,110,1,0,0,511
4,2,2,1,110,1,0,0.00393700787401575,254
2,1,1,1,110,1,0,0,83
2,1,1,1,110,1,0,0,118
9,7,2,1,165,1,0,0,264
224,224,0,1,165,0,0,0,224
234,234,0,1,165,0,0,0,234
0,0,0,1,72,0,0,0,233
16,11,5,2,8,2,0,0,441
10,8,2,3,25,3,0,0,391
12,6,6,2,0,1,0,0,35
21,14,7,4,25,4,0,0,390
33,23,10,7,15,5,0,0.00130890052356021,764
4,2,2,1,25,1,0,0,1432
2,1,1,1,110,1,0,0.00952380952380952,105
100,73,27,3,110,3,0,0,611
25,19,6,3,25,3,0,0,196
2,1,1,1,110,1,0,0,80
2,1,1,1,110,1,0,0,345
2,1,1,1,110,1,0,0,388
8,8,0,1,96,1,0,0,619
2719,1523,1196,3,0,2,0,0.00243111831442464,1234
0,0,0,1,1,1,0,0.00173310225303293,577
9,4,5,2,28,1,0,0.0032258064516129,310
315,239,76,15,3,10,0,0.0023767082590612,1683
27,18,9,1,111,0,0,0,76
104,78,26,15,6,9,0,0.022508038585209,311
5029,1903,3126,7,3,6,0,0.00206469373709566,2906
87,43,44,4,3,2,0,0.00833333333333333,120
497,363,134,21,0,11,0,0.00528084493518963,2083
4,3,1,1,13,1,0,0,27
1815,1066,749,27,4,12,0,0.0130813953488372,688
530,433,97,8,23,3,0,0.00284495021337127,703
485,277,208,8,47,7,0,0.00266903914590747,1124
82,41,41,2,111,1,0,0,93
158,80,78,9,7,7,0,0,75
70,30,40,5,13,3,0,0,101
236,161,75,16,24,12,0,0.00225225225225225,1332
24,16,8,6,0,5,0,0,210
907,603,304,27,2,15,0,0.00341426403641882,2636
401,287,114,22,3,12,0,0.0034965034965035,1716
4,2,2,1,72,0,0,0.00242130750605327,413
7,4,3,1,72,0,0,0,367
0,0,0,1,165,0,0,0,26
3,1,2,1,3,0,0,0.00229357798165138,436
1060,712,348,7,3,6,0,0.0024330900243309,1644
22,12,10,4,7,0,0,0.0155440414507772,193
2,1,1,2,25,1,0,0,146
1403,726,677,11,13,6,0,0.00718954248366013,1530
32,22,10,10,0,7,0,0.01,200
2,2,0,1,29,0,0,0.00467289719626168,214
212,120,92,3,29,2,0,0.0272727272727273,110
80,13,67,2,86,2,0,0,676
77,48,29,2,86,1,0,0.00257234726688103,1555
10,6,4,3,72,1,0,0,193
0,0,0,1,98,0,0,0,0
0,0,0,1,98,0,0,0,0
17,10,7,2,117,2,0,0,938
22,20,2,1,101,1,0,0.00142450142450142,702
8,8,0,3,29,1,0,0.00884955752212389,113
830,571,259,13,3,7,0,0.00219941348973607,2728
13,11,2,4,25,2,0,0,64
184,129,55,18,7,12,0,0.00216216216216216,925
1159,750,409,6,15,3,0,0.00289687137891078,1726
146,121,25,7,0,2,0,0.00813008130081301,246
15,14,1,3,3,2,0,0,123
1,1,0,1,110,1,0,0.00239234449760766,418
7,4,3,3,47,3,0,0.00446428571428571,224
21,15,6,2,47,2,0,0,129
7,4,3,1,165,1,0,0.0268199233716475,261
19,14,5,1,96,1,0,0,173
20,7,13,2,2,1,0,0.00862068965517241,348
17,15,2,3,96,3,0,0.0535714285714286,56
0,0,0,1,5,0,0,0.0333333333333333,30
98,64,34,6,8,5,0,0.00833333333333333,240
575,374,201,4,23,3,0,0.00131578947368421,760
