CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,23,0,0,0,526
0,0,0,1,23,0,0,0,13
0,0,0,1,23,0,0,0,405
0,0,0,1,23,0,0,0,132
0,0,0,1,23,0,0,0,153
0,0,0,1,23,0,0,0,776
0,0,0,1,23,0,0,0,86
0,0,0,1,23,0,0,0,49
0,0,0,1,23,0,0,0,199
0,0,0,1,23,0,0,0,91
0,0,0,1,23,0,0,0,528
0,0,0,1,23,0,0,0,485
0,0,0,1,23,0,0,0,171
0,0,0,1,23,0,0,0,645
0,0,0,1,23,0,0,0,757
0,0,0,1,23,0,0,0,778
0,0,0,1,23,0,0,0,697
0,0,0,1,23,0,0,0,78
0,0,0,1,23,0,0,0,270
0,0,0,1,23,0,0,0,746
0,0,0,1,23,0,0,0,320
0,0,0,1,23,0,0,0,491
0,0,0,1,23,0,0,0,881
0,0,0,1,23,0,0,0,426
0,0,0,1,23,0,0,0,207
0,0,0,1,23,0,0,0,119
0,0,0,1,23,0,0,0,138
0,0,0,1,23,0,0,0,592
0,0,0,1,23,0,0,0,86
0,0,0,1,23,0,0,0,49
0,0,0,1,23,0,0,0,453
0,0,0,1,23,0,0,0,604
0,0,0,1,23,0,0,0,25
0,0,0,1,23,0,0,0,242
0,0,0,1,23,0,0,0,31
0,0,0,1,23,0,0,0,64
0,0,0,1,23,0,0,0,160
0,0,0,1,23,0,0,0,46
0,0,0,1,23,0,0,0,306
0,0,0,1,23,0,0,0,31
0,0,0,1,23,0,0,0,191
0,0,0,1,23,0,0,0,9
0,0,0,1,23,0,0,0,606
0,0,0,1,23,0,0,0,49
0,0,0,1,23,0,0,0,105
0,0,0,1,23,0,0,0,129
0,0,0,1,23,0,0,0,55
0,0,0,1,23,0,0,0,924
0,0,0,1,23,0,0,0,55
0,0,0,1,23,0,0,0,578
0,0,0,1,23,0,0,0,403
0,0,0,1,23,0,0,0,634
0,0,0,1,23,0,0,0,690
0,0,0,1,23,0,0,0,291
0,0,0,1,23,0,0,0,118
0,0,0,1,23,0,0,0,111
0,0,0,1,23,0,0,0,18
0,0,0,1,23,0,0,0,463
0,0,0,1,23,0,0,0,64
0,0,0,1,23,0,0,0,12
0,0,0,1,23,0,0,0,45
0,0,0,1,23,0,0,0,184
0,0,0,1,23,0,0,0,99
0,0,0,1,23,0,0,0,429
0,0,0,1,23,0,0,0,197
0,0,0,1,23,0,0,0,94
0,0,0,1,23,0,0,0,918
0,0,0,1,23,0,0,0,27
0,0,0,1,23,0,0,0,146
0,0,0,1,23,0,0,0,103
0,0,0,1,23,0,0,0,140
0,0,0,1,23,0,0,0,83
0,0,0,1,23,0,0,0,610
0,0,0,1,23,0,0,0,75
0,0,0,1,23,0,0,0,77
0,0,0,1,23,0,0,0,401
0,0,0,1,23,0,0,0,289
0,0,0,1,23,0,0,0,225
0,0,0,1,23,0,0,0,1617
0,0,0,1,23,0,0,0,28
0,0,0,1,23,0,0,0,151
0,0,0,1,23,0,0,0,138
0,0,0,1,23,0,0,0,335
0,0,0,1,23,0,0,0,927
0,0,0,1,23,0,0,0,1090
0,0,0,1,23,0,0,0,578
0,0,0,1,23,0,0,0,552
0,0,0,1,23,0,0,0,560
0,0,0,1,23,0,0,0,842
0,0,0,1,23,0,0,0,629
0,0,0,1,23,0,0,0,89
0,0,0,1,23,0,0,0,579
0,0,0,1,23,0,0,0,305
0,0,0,1,23,0,0,0,117
0,0,0,1,23,0,0,0,68
0,0,0,1,23,0,0,0,159
0,0,0,1,23,0,0,0,21
0,0,0,1,23,0,0,0,91
0,0,0,1,23,0,0,0,1278
0,0,0,1,23,0,0,0,301
0,0,0,1,23,0,0,0,168
0,0,0,1,23,0,0,0,41
0,0,0,1,23,0,0,0,584
0,0,0,1,23,0,0,0,1751
0,0,0,1,23,0,0,0,1704
0,0,0,1,23,0,0,0,281
0,0,0,1,23,0,0,0,653
0,0,0,1,23,0,0,0,112
0,0,0,1,23,0,0,0,166
0,0,0,1,23,0,0,0,985
0,0,0,1,23,0,0,0,156
0,0,0,1,23,0,0,0,694
0,0,0,1,23,0,0,0,56
0,0,0,1,23,0,0,0,98
0,0,0,1,23,0,0,0,413
0,0,0,1,23,0,0,0,238
0,0,0,1,23,0,0,0,1175
0,0,0,1,23,0,0,0,299
0,0,0,1,23,0,0,0,562
0,0,0,1,23,0,0,0,908
0,0,0,1,23,0,0,0,866
0,0,0,1,23,0,0,0,397
0,0,0,1,23,0,0,0,144
0,0,0,1,23,0,0,0,526
0,0,0,1,23,0,0,0,439
0,0,0,1,23,0,0,0,596
0,0,0,1,23,0,0,0,269
0,0,0,1,23,0,0,0,387
0,0,0,1,23,0,0,0,2680
0,0,0,1,23,0,0,0,771
0,0,0,1,23,0,0,0,2540
0,0,0,1,23,0,0,0,503
0,0,0,1,23,0,0,0,434
0,0,0,1,23,0,0,0,109
0,0,0,1,23,0,0,0,188
0,0,0,1,23,0,0,0,1156
0,0,0,1,23,0,0,0,570
0,0,0,1,23,0,0,0,417
0,0,0,1,23,0,0,0,674
0,0,0,1,23,0,0,0,182
0,0,0,1,23,0,0,0,402
0,0,0,1,23,0,0,0,605
0,0,0,1,23,0,0,0,273
0,0,0,1,23,0,0,0,142
0,0,0,1,23,0,0,0,27
0,0,0,1,23,0,0,0,428
0,0,0,1,23,0,0,0,71
0,0,0,1,23,0,0,0,222
0,0,0,1,23,0,0,0,117
0,0,0,1,23,0,0,0,84
0,0,0,1,23,0,0,0,149
0,0,0,1,23,0,0,0,129
0,0,0,1,23,0,0,0,273
0,0,0,1,23,0,0,0,101
0,0,0,1,23,0,0,0,149
0,0,0,1,23,0,0,0,825
0,0,0,1,23,0,0,0,1540
0,0,0,1,23,0,0,0,790
0,0,0,1,23,0,0,0,723
0,0,0,1,23,0,0,0,27
0,0,0,1,23,0,0,0,538
0,0,0,1,23,0,0,0,419
0,0,0,1,23,0,0,0,808
0,0,0,1,23,0,0,0,874
0,0,0,1,23,0,0,0,96
