CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,118,0,0,0,10
0,0,0,1,118,0,0,0,6
0,0,0,1,118,0,0,0,10
0,0,0,1,118,0,0,0,20
0,0,0,1,118,0,0,0,7
0,0,0,1,118,0,0,0,7
0,0,0,1,118,0,0,0,5
0,0,0,1,118,0,0,0,8
0,0,0,1,118,0,0,0,1
0,0,0,1,118,0,0,0,13
0,0,0,1,118,0,0,0,28
0,0,0,1,118,0,0,0,127
0,0,0,1,118,0,0,0,5
0,0,0,1,118,0,0,0,5
0,0,0,1,118,0,0,0,19
0,0,0,1,118,0,0,0.0217391304347826,46
0,0,0,1,118,0,0,0,7
0,0,0,1,118,0,0,0,12
0,0,0,1,118,0,0,0,13
0,0,0,1,118,0,0,0,34
0,0,0,1,118,0,0,0,6
0,0,0,1,118,0,0,0,10
0,0,0,1,118,0,0,0,12
0,0,0,1,118,0,0,0,5
0,0,0,1,118,0,0,0,15
0,0,0,1,118,0,0,0,11
0,0,0,1,118,0,0,0,14
0,0,0,1,118,0,0,0,6
0,0,0,1,118,0,0,0.00244498777506112,409
2,2,0,1,62,0,0,0,114
144,72,72,2,61,1,0,0.003125,320
192,187,5,2,122,1,0,0.00203665987780041,982
39,33,6,2,96,0,0,0,551
4,3,1,1,109,0,0,0,271
45,33,12,4,109,0,0,0,1236
3,2,1,2,109,0,0,0.00142857142857143,700
13,8,5,2,78,0,0,0,672
2,1,1,1,109,0,0,0.0033112582781457,302
34,22,12,4,78,1,0,0,313
6,3,3,2,99,1,0,0,174
6,5,1,1,54,1,0,0,104
101,64,37,5,41,1,0,0,1385
6,5,1,1,54,1,0,0,161
6,5,1,1,54,1,0,0,235
155,148,7,1,38,1,0,0,464
75,63,12,1,38,1,0,0,666
5,3,2,1,4,1,0,0,213
258,172,86,5,4,3,0,0.000342935528120713,2916
269,156,113,7,82,1,0,0.000261301280376274,3827
106,80,26,2,60,0,0,0,1054
11,8,3,1,60,0,0,0,364
0,0,0,1,176,0,0,0,279
98,35,63,3,16,0,0,0.00124688279301746,802
367,296,71,5,53,1,0,0.00120772946859903,828
62,43,19,3,60,1,0,0,203
120,69,51,4,77,1,0,0,380
0,0,0,1,159,0,0,0,111
0,0,0,1,159,0,0,0,173
45,17,28,4,77,1,0,0,710
0,0,0,1,159,0,0,0,100
66,52,14,2,78,0,0,0.000744601638123604,1343
25,19,6,2,78,0,0,0.00211416490486258,473
74,50,24,1,35,0,0,0,798
12,10,2,3,47,0,0,0,461
0,0,0,1,7,0,0,0,67
0,0,0,1,7,0,0,0,67
0,0,0,1,7,0,0,0,67
12,0,12,1,38,0,0,0.0120481927710843,83
12,0,12,1,38,0,0,0.010989010989011,91
12,0,12,1,38,0,0,0.0120481927710843,83
0,0,0,1,104,0,0,0,72
13,0,13,1,38,0,0,0,101
12,0,12,1,38,0,0,0,84
13,1,12,1,38,0,0,0,145
12,0,12,1,38,0,0,0,82
13,1,12,1,38,0,0,0,125
12,0,12,1,46,0,0,0,83
12,0,12,1,46,0,0,0,91
12,0,12,1,46,0,0,0,83
12,0,12,1,46,0,0,0,118
12,0,12,1,46,0,0,0,86
12,0,12,1,46,0,0,0,160
12,0,12,1,46,0,0,0.0099009900990099,101
12,0,12,1,46,0,0,0,144
31,4,27,1,18,1,0,0,186
86,4,82,1,38,1,0,0,177
0,0,0,1,95,0,0,0,69
2,1,1,1,166,0,0,0,88
2,1,1,1,166,0,0,0,88
2,1,1,1,166,0,0,0,72
0,0,0,1,25,0,0,0,70
0,0,0,1,176,0,0,0,74
0,0,0,1,159,0,0,0,71
0,0,0,1,159,0,0,0,77
2,1,1,1,63,1,0,0,411
2,1,1,1,63,1,0,0,605
50,48,2,2,21,0,0,0,410
2,2,0,2,21,0,0,0,219
965,640,325,6,50,1,0,0.00183992640294388,1087
132,80,52,2,58,0,0,0.00714285714285714,140
0,0,0,1,159,0,0,0,851
16,8,8,2,116,1,0,0.00478468899521531,209
2,1,1,1,63,1,0,0,1078
14,9,5,2,118,0,0,0,2689
96,64,32,1,7,0,0,0,232
0,0,0,1,104,0,0,0,188
0,0,0,1,104,0,0,0.0217391304347826,46
0,0,0,1,104,0,0,0.0101010101010101,99
0,0,0,1,104,0,0,0,0
155,65,90,1,104,0,0,0.00387596899224806,258
13,6,7,1,104,0,0,0.0144927536231884,138
6,1,5,1,104,0,0,0,104
6,1,5,1,104,0,0,0,325
202,105,97,1,104,0,0,0,177
0,0,0,1,104,0,0,0,0
88,65,23,1,104,0,0,0.00266666666666667,375
291,165,126,1,104,0,0,0.00240963855421687,415
83,40,43,1,104,0,0,0,214
18,10,8,3,27,1,0,0.00633528265107212,2052
736,575,161,1,104,0,0,0.00087719298245614,1140
0,0,0,1,104,0,0,0,0
0,0,0,1,104,0,0,0,0
0,0,0,1,104,0,0,0,0
0,0,0,1,104,0,0,0,0
113,6,107,1,104,0,0,0,241
0,0,0,1,104,0,0,0,0
3,2,1,1,104,0,0,0,99
401,351,50,1,104,0,0,0,640
135,102,33,1,104,0,0,0.00505050505050505,396
494,403,91,1,104,0,0,0.00147275405007364,679
