CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
9,8,1,1,58,0,0,0,80
9,8,1,1,58,0,0,0,80
9,8,1,1,58,0,0,0,80
1,0,1,1,51,1,0,0,690
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
15,11,4,2,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
0,0,0,1,21,0,0,0,0
