CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
21,19,2,1,56,1,0,0,236
4,2,2,2,348,2,0,0.0020746887966805,482
700,631,69,26,7,26,0,0.0165710643722116,1569
79,60,19,17,0,17,0,0.0482456140350877,228
0,0,0,1,140,1,0,0,40
0,0,0,1,140,1,0,0,39
0,0,0,1,140,1,0,0,40
0,0,0,1,140,1,0,0,39
1777,1246,531,28,0,28,0,0.0372856077554064,1341
1732,1316,416,31,24,31,0,0.00952380952380952,1890
108,86,22,8,55,8,0,0.00125628140703518,796
17,10,7,9,59,9,0,0.00602409638554217,166
2,1,1,1,312,1,0,0,291
2,1,1,1,312,1,0,0,216
37,27,10,4,170,4,0,0.00755667506297229,397
260,173,87,15,49,15,0,0.00907441016333938,551
460,269,191,13,76,13,0,0.0044280442804428,1355
46,32,14,8,76,8,0,0.0087719298245614,342
256,186,70,8,153,8,0,0.016260162601626,615
51,41,10,3,119,3,0,0,363
12,8,4,3,119,3,0,0,107
11,11,0,1,119,1,0,0.00584795321637427,171
1,1,0,1,119,1,0,0.0120481927710843,83
3,3,0,2,152,2,0,0.024390243902439,82
3,3,0,2,152,2,0,0.0384615384615385,52
0,0,0,1,270,1,0,0,56
0,0,0,1,270,1,0,0,58
18,18,0,2,119,2,0,0.00257731958762887,388
10,10,0,2,119,2,0,0.00543478260869565,184
385,140,245,14,164,14,0,0.0130208333333333,768
39,27,12,12,59,12,0,0.0202702702702703,296
5,3,2,2,170,2,0,0.010752688172043,93
207,118,89,6,0,6,0,0.020066889632107,299
74,38,36,3,119,3,0,0.0085348506401138,703
10,5,5,1,270,1,0,0.0263157894736842,190
261,169,92,12,0,12,0,0.0129716981132075,848
6,4,2,2,119,2,0,0,40
25,18,7,3,59,3,0,0.00380228136882129,263
16,8,8,6,49,6,0,0.0396825396825397,126
47,27,20,3,249,3,0,0,272
16,14,2,1,312,1,0,0,113
395,297,98,2,259,2,0,0,457
11,8,3,2,259,2,0,0,66
18,17,1,2,341,2,0,0.00666666666666667,150
16,12,4,2,331,2,0,0.0103092783505155,97
2,1,1,1,270,1,0,0.00520833333333333,192
184,180,4,3,7,3,0,0,452
6,6,0,2,259,2,0,0,69
20,10,10,2,270,2,0,0,492
10,5,5,1,270,1,0,0,171
68,56,12,18,76,18,0,0.0113268608414239,618
21,19,2,13,76,13,0,0.0276497695852535,217
136,80,56,6,76,5,0,0.00462962962962963,1512
