CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
0,0,0,1,48,0,0,0,0
4,2,2,2,3,0,0,0,67
42,42,0,1,74,0,0,0,1940
218,215,3,1,59,0,0,0,9465
19,19,0,1,39,0,0,0.00192678227360308,519
1,1,0,1,32,0,0,0,82
104,100,4,2,39,0,0,0.00107181136120043,933
45,40,5,1,59,0,0,0,869
3,1,2,1,3,1,0,0,404
3,1,2,1,3,1,0,0,328
3,1,2,1,3,1,0,0,284
4,1,3,1,3,1,0,0,224
3,1,2,1,3,1,0,0,217
7,3,4,1,3,1,0,0,269
3,1,2,1,3,1,0,0,631
7,3,4,1,3,1,0,0,359
2,1,1,1,3,1,0,0,1327
38,29,9,2,3,1,0,0,1071
1,0,1,1,3,1,0,0,776
4,1,3,2,3,1,0,0,418
3,1,2,1,3,1,0,0,285
5,3,2,3,3,3,0,0,619
5,1,4,1,3,1,0,0,159
2,1,1,1,3,1,0,0,492
18,8,10,3,0,1,0,0,403
13,6,7,1,3,1,0,0,1074
9,7,2,3,3,1,0,0,463
3,1,2,1,3,1,0,0,580
5,4,1,3,3,3,0,0,731
3,1,2,1,3,1,0,0,1145
3,1,2,1,3,1,0,0,298
8,4,4,3,3,1,0,0,891
19,17,2,2,3,1,0,0,369
5,1,4,1,3,1,0,0,268
4,2,2,1,3,1,0,0,504
16,11,5,4,3,4,0,0,1031
5,4,1,3,3,3,0,0,905
14,7,7,2,3,1,0,0,402
5,1,4,1,3,1,0,0,136
3,1,2,1,3,1,0,0,1040
6,1,5,1,3,1,0,0,268
4,2,2,1,3,1,0,0,555
1,0,1,1,3,1,0,0,685
1,0,1,1,3,1,0,0,655
3,1,2,1,3,1,0,0,523
4,1,3,1,3,1,0,0,290
3,1,2,1,3,1,0,0,817
7,3,4,3,3,1,0,0,373
7,2,5,1,3,1,0,0,250
1,0,1,1,3,1,0,0,543
1,0,1,1,3,1,0,0,615
3,1,2,1,3,1,0,0,331
3,1,2,1,3,1,0,0,116
24,11,13,2,82,1,0,0.00684931506849315,146
9,6,3,2,82,0,0,0.00471698113207547,212
28,15,13,2,82,0,0,0.00155763239875389,642
12,7,5,2,67,0,0,0.00208333333333333,480
3,1,2,1,82,0,0,0,173
2,1,1,1,82,0,0,0,119
11,5,6,2,67,0,0,0.00380228136882129,263
12,7,5,2,67,0,0,0,451
399,289,110,1,64,0,0,0,787
0,0,0,1,42,0,0,0,0
0,0,0,1,42,0,0,0,0
0,0,0,1,42,0,0,0,0
0,0,0,1,42,0,0,0,0
0,0,0,1,80,1,0,0,0
0,0,0,1,80,1,0,0,0
0,0,0,1,80,1,0,0,0
0,0,0,1,80,1,0,0,0
0,0,0,1,80,1,0,0,0
151,149,2,2,27,1,0,0,0
0,0,0,1,80,1,0,0,0
0,0,0,1,80,1,0,0,0
0,0,0,1,80,1,0,0,0
15,13,2,3,32,0,0,0.00374531835205993,267
4,2,2,2,33,0,0,0,120
4,2,2,2,33,0,0,0,110
4,2,2,2,33,0,0,0,117
4,2,2,2,33,0,0,0,109
4,2,2,2,33,0,0,0,109
2,1,1,1,17,0,0,0,111
4,2,2,2,33,0,0,0,116
4,2,2,2,33,0,0,0,132
59,55,4,3,18,0,0,0,348
4,2,2,2,32,0,0,0,470
17,15,2,3,14,2,0,0,249
22,12,10,4,33,2,0,0,278
