CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
34,18,16,2,11,0,0,0,0
2,1,1,1,262,0,0,0.00763358778625954,262
77,43,34,2,262,1,0,0,0
25,12,13,1,11,0,0,0.00581395348837209,172
65,48,17,3,11,0,0,0,240
85,37,48,1,539,0,0,0,227
181,93,88,2,527,1,0,0,269
46,19,27,1,539,0,0,0,182
26,12,14,1,11,0,0,0.0117647058823529,85
94,51,43,1,526,1,0,0,272
46,22,24,1,539,0,0,0.00632911392405063,158
28,13,15,1,11,0,0,0,262
25,12,13,1,11,0,0,0.0072202166064982,277
25,12,13,1,11,0,0,0.00314465408805031,318
25,12,13,1,11,0,0,0.00625,160
42,20,22,3,11,2,0,0.0050761421319797,197
26,12,14,1,11,0,0,0.00675675675675676,148
72,47,25,2,11,0,0,0.00662251655629139,151
35,20,15,3,11,2,0,0.0111111111111111,270
25,12,13,1,11,0,0,0.00421940928270042,237
27,13,14,2,11,1,0,0.00778210116731518,257
26,12,14,2,11,0,0,0,230
25,12,13,1,11,0,0,0.0132450331125828,151
26,12,14,1,11,0,0,0,362
25,11,14,1,11,0,0,0,66
29,14,15,2,11,0,0,0.00449438202247191,445
30,14,16,2,11,1,0,0.0078740157480315,254
27,13,14,1,46,0,0,0.00657894736842105,152
27,13,14,1,46,0,0,0.00775193798449612,129
31,16,15,4,11,1,0,0.00775193798449612,258
182,131,51,2,0,1,0,0,0
34,19,15,2,11,1,0,0.016,250
29,14,15,2,46,1,0,0,0
28,14,14,1,46,0,0,0,0
27,13,14,1,46,0,0,0,133
27,13,14,1,46,0,0,0.00591715976331361,169
27,13,14,1,46,0,0,0.0125,80
26,24,2,3,38,0,0,0.00352112676056338,284
198,160,38,4,40,1,0,0,0
28,13,15,2,46,1,0,0.0120481927710843,166
27,13,14,1,46,0,0,0,62
26,13,13,1,46,0,0,0.00632911392405063,158
27,13,14,1,46,0,0,0.00497512437810945,201
27,13,14,1,46,0,0,0,0
27,13,14,1,46,0,0,0.0178571428571429,168
27,13,14,1,46,0,0,0.0104712041884817,191
75,53,22,2,46,0,0,0,264
30,15,15,2,46,1,0,0.00476190476190476,210
112,59,53,2,73,0,0,0,0
34,19,15,2,11,0,0,0.016,250
27,13,14,1,46,0,0,0.0151515151515152,66
0,0,0,1,538,1,0,0.0087719298245614,228
27,13,14,1,46,0,0,0,0
27,13,14,1,46,0,0,0,0
42,22,20,2,46,0,0,0,0
66,44,22,3,46,1,0,0.00436681222707424,229
26,14,12,2,46,1,0,0,114
72,53,19,2,204,0,0,0.00359712230215827,278
24,12,12,1,46,0,0,0.00467289719626168,214
27,13,14,1,46,0,0,0,190
0,0,0,1,361,0,0,0.00819672131147541,122
24,12,12,2,46,0,0,0.0078740157480315,127
22,11,11,1,46,0,0,0.00869565217391304,115
177,128,49,5,46,1,0,0.0140845070422535,213
33,21,12,2,46,1,0,0.00709219858156028,141
83,59,24,2,0,1,0,0.00671140939597315,149
27,13,14,2,46,0,0,0.00531914893617021,188
89,66,23,6,46,3,0,0.0036231884057971,552
27,13,14,1,46,0,0,0.00561797752808989,178
286,161,125,11,21,5,0,0.00292397660818713,342
27,13,14,1,46,0,0,0,190
26,13,13,1,46,0,0,0.00628930817610063,159
72,39,33,6,5,4,0,0.00269541778975741,371
32,17,15,4,41,2,0,0.00909090909090909,110
30,14,16,2,46,1,0,0.00324675324675325,308
29,14,15,2,46,1,0,0.00515463917525773,194
27,13,14,1,46,0,0,0.003125,320
27,13,14,1,46,0,0,0.00628930817610063,159
43,21,22,3,46,2,0,0.00505050505050505,198
27,13,14,1,46,0,0,0.00671140939597315,149
49,34,15,2,46,0,0,0.00657894736842105,152
33,20,13,2,46,1,0,0.00636942675159236,314
253,233,20,5,10,1,0,0.00836820083682008,478
32,16,16,2,46,1,0,0.00420168067226891,238
75,53,22,4,349,0,0,0.00636942675159236,157
32,17,15,4,46,2,0,0.00386100386100386,259
27,13,14,1,46,0,0,0,231
27,13,14,1,46,0,0,0.00578034682080925,173
27,13,14,1,46,0,0,0.00699300699300699,143
