CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
793,413,380,17,55,4,0,0.000858369098712446,2330
159,70,89,7,75,1,0,0,509
2394,1127,1267,11,1,3,0,0.00126023944549464,1587
60,35,25,7,21,3,0,0.00119904076738609,1668
2245,1072,1173,10,1,2,0,0.00128287363694676,1559
2369,1134,1235,11,1,2,0,0.00128865979381443,1552
2172,1074,1098,10,1,2,0,0.00128783000643915,1553
2223,1072,1151,10,1,2,0,0.00128865979381443,1552
2291,1087,1204,12,1,4,0,0.00322372662798195,1551
2204,1065,1139,10,1,2,0,0.00126742712294043,1578
22,11,11,3,55,0,0,0,80
2240,1071,1169,11,0,2,0,0.00128949065119278,1551
2247,1070,1177,10,1,2,0,0.00128122998078155,1561
3752,1817,1935,13,1,3,0,0.00128617363344051,1555
2777,1366,1411,11,1,2,0,0.00130548302872063,1532
2405,1145,1260,12,0,2,0,0.00127877237851662,1564
2284,1090,1194,9,1,2,0,0.00126903553299492,1576
2165,1058,1107,10,1,2,0,0.00129198966408269,1548
2386,1146,1240,11,1,2,0,0.00127959053103007,1563
2203,1067,1136,11,0,2,0,0.00129954515919428,1539
2142,1057,1085,10,1,2,0,0.00130039011703511,1538
2242,1070,1172,11,0,2,0,0.00127713920817369,1566
2190,1055,1135,11,0,2,0,0.00130378096479791,1534
2230,1068,1162,10,1,2,0,0.00129449838187702,1545
2677,1310,1367,11,1,3,0,0.0011001100110011,1818
2189,1075,1114,10,1,2,0,0.00129032258064516,1550
244,155,89,10,1,2,0,0.00128122998078155,1561
2332,1115,1217,10,1,2,0,0.00128122998078155,1561
14,7,7,2,55,0,0,0,31
14,7,7,2,55,0,0,0,40
2143,1066,1077,10,1,2,0,0.00130208333333333,1536
29,12,17,2,75,0,0,0,48
40,21,19,2,75,0,0,0,164
121,50,71,4,32,0,0,0,147
79,50,29,3,75,1,0,0,351
120,71,49,5,68,1,0,0,709
68,36,32,3,75,0,0,0,312
35,16,19,2,75,0,0,0,536
34,16,18,2,75,0,0,0,166
409,284,125,8,33,1,0,0.00169779286926995,1178
44,23,21,2,75,0,0,0,255
25,10,15,2,75,0,0,0,60
19,8,11,2,75,0,0,0,85
40,19,21,5,32,1,0,0,236
45,23,22,3,33,1,0,0,135
25,9,16,2,75,0,0,0,230
15,5,10,2,116,0,0,0,0
1382,783,599,7,15,2,0,0.00123228589032656,1623
25,12,13,2,75,0,0,0.00236406619385343,423
33,15,18,2,75,0,0,0,261
8,5,3,2,20,0,0,0,203
417,268,149,8,32,2,0,0,477
104,43,61,3,33,0,0,0,175
58,27,31,3,33,0,0,0,253
34,16,18,2,75,0,0,0,194
38,19,19,2,75,0,0,0,238
28,13,15,2,75,0,0,0,245
23,9,14,2,75,0,0,0.00353356890459364,283
33,15,18,2,75,0,0,0,251
310,180,130,8,73,2,0,0,324
21,8,13,2,75,0,0,0,273
31,14,17,2,75,0,0,0.00384615384615385,260
21,9,12,2,75,0,0,0,137
42,24,18,4,75,1,0,0,247
32,16,16,2,75,0,0,0,141
31,14,17,2,75,0,0,0.00384615384615385,260
27,11,16,2,75,0,0,0,252
426,272,154,4,75,1,0,0.000731528895391368,1367
55,25,30,4,32,0,0,0.00383141762452107,261
25,10,15,2,75,0,0,0,257
75,43,32,3,75,0,0,0.00197628458498024,506
21,8,13,2,75,0,0,0.00332225913621262,301
21,8,13,2,75,0,0,0,79
51,25,26,4,75,2,0,0,164
19,8,11,2,75,0,0,0.00826446280991736,121
1958,1114,844,24,17,4,0,0.00318471337579618,628
43,21,22,3,75,0,0,0,183
37,18,19,2,75,0,0,0,224
21,8,13,2,75,0,0,0,148
823,532,291,14,3,7,0,0.000779727095516569,2565
27,13,14,2,75,0,0,0,160
140,65,75,6,39,1,0,0,418
52,28,24,2,75,0,0,0,283
201,114,87,8,4,2,0,0.000823723228995058,1214
353,210,143,9,61,3,0,0.000867302688638335,1153
71,39,32,3,75,1,0,0.00289017341040462,346
42,22,20,2,75,0,0,0,211
916,598,318,19,22,9,0,0.00103092783505155,1940
126,80,46,6,19,2,0,0,227
128,71,57,5,75,1,0,0,955
201,114,87,8,4,2,0,0.000823723228995058,1214
61,32,29,4,51,0,0,0,134
28,14,14,2,75,0,0,0,151
82,46,36,5,74,0,0,0.00496277915632754,403
99,54,45,5,32,1,0,0.00267379679144385,374
720,570,150,5,17,0,0,0.0010183299389002,982
215,121,94,11,4,3,0,0.000823723228995058,1214
201,114,87,8,4,2,0,0.000823723228995058,1214
201,114,87,8,4,2,0,0.000823723228995058,1214
1110,728,382,25,20,13,0,0.00102774922918808,1946
156,94,62,4,75,1,0,0,926
31,15,16,2,75,0,0,0,124
803,431,372,7,28,0,0,0.0015600624024961,1282
197,112,85,7,4,2,0,0.000823723228995058,1214
625,324,301,13,2,2,0,0.00186219739292365,1074
229,129,100,10,1,2,0,0.000821692686935086,1217
559,407,152,9,19,3,0,0.000672043010752688,1488
111,59,52,6,19,1,0,0.0101522842639594,197
61,29,32,3,75,0,0,0,105
900,496,404,17,1,4,0,0.00166251039068994,1203
24,10,14,3,51,0,0,0.0208333333333333,48
19,8,11,2,75,0,0,0.00826446280991736,121
41,20,21,3,75,1,0,0,164
44,22,22,2,75,0,0,0,232
25,12,13,2,75,0,0,0.00862068965517241,116
128,72,56,6,68,1,0,0.00303490136570561,659
37,18,19,2,75,0,0,0.00440528634361234,227
475,117,358,4,32,1,0,0.00101522842639594,985
163,96,67,5,19,1,0,0.00122850122850123,814
202,109,93,8,13,2,0,0.00136798905608755,731
21,8,13,2,75,0,0,0,48
84,42,42,3,75,0,0,0,752
36,17,19,3,75,1,0,0,101
21,8,13,2,75,0,0,0,122
8,4,4,1,84,0,0,0,63
8,4,4,1,84,0,0,0,63
