CODECHURN,LOCADDED,LOCDELETED,REVISIONS,AGE,BUGFIXES,REFACTORINGS,ERROR_DENSITY,LOC
4,2,2,1,72,0,0,0,102
0,0,0,1,72,0,0,0.0103092783505155,97
0,0,0,1,72,0,0,0,192
0,0,0,1,72,0,0,0,87
0,0,0,1,72,0,0,0,235
0,0,0,1,72,0,0,0,249
0,0,0,1,72,0,0,0,209
0,0,0,1,72,0,0,0,114
0,0,0,1,72,0,0,0,40
0,0,0,1,72,0,0,0,57
0,0,0,1,72,0,0,0,415
0,0,0,1,72,0,0,0,28
0,0,0,1,72,0,0,0,150
0,0,0,1,72,0,0,0,555
0,0,0,1,72,0,0,0,51
0,0,0,1,72,0,0,0,48
0,0,0,1,72,0,0,0,363
0,0,0,1,72,0,0,0,364
0,0,0,1,72,0,0,0,205
0,0,0,1,72,0,0,0,189
0,0,0,1,72,0,0,0,604
0,0,0,1,72,0,0,0,803
0,0,0,1,72,0,0,0,555
0,0,0,1,72,0,0,0,98
0,0,0,1,72,0,0,0,45
0,0,0,1,72,0,0,0,45
0,0,0,1,72,0,0,0,45
0,0,0,1,72,0,0,0,12
0,0,0,1,72,0,0,0,143
26,25,1,2,67,0,0,0,214
26,25,1,2,67,0,0,0,256
0,0,0,1,72,0,0,0,71
0,0,0,1,72,0,0,0,46
0,0,0,1,72,0,0,0,81
0,0,0,1,72,0,0,0,80
0,0,0,1,72,0,0,0,132
0,0,0,1,48,1,0,0,158
66,43,23,3,47,1,0,0.004149377593361,241
22,15,7,3,10,2,0,0.0185185185185185,108
377,245,132,5,10,2,0,0.0089086859688196,449
0,0,0,1,72,0,0,0,80
3,1,2,2,10,1,0,0,209
0,0,0,1,72,0,0,0,1
0,0,0,1,72,0,0,0,34
0,0,0,1,72,0,0,0,74
0,0,0,1,72,0,0,0,400
0,0,0,1,72,0,0,0,30
0,0,0,1,72,0,0,0,156
0,0,0,1,72,0,0,0,529
2,2,0,2,10,1,0,0,52
0,0,0,1,72,0,0,0,55
2,1,1,2,10,1,0,0,388
0,0,0,1,72,0,0,0,364
0,0,0,1,72,0,0,0,2
2,0,2,2,10,1,0,0.00485436893203883,206
0,0,0,1,72,0,0,0,1
0,0,0,1,72,0,0,0,189
4,0,4,2,10,1,0,0,651
0,0,0,1,72,0,0,0,801
3,2,1,2,10,1,0,0,575
0,0,0,1,72,0,0,0,98
8,6,2,2,10,1,0,0,49
6,4,2,2,10,1,0,0,47
0,0,0,1,72,0,0,0,105
0,0,0,1,72,0,0,0,15
6,4,2,2,10,1,0,0.00320512820512821,312
35,13,22,3,10,1,0,0.0104166666666667,96
24,14,10,3,41,0,0,0,54
22,13,9,2,67,0,0,0,50
4,2,2,1,72,0,0,0,101
7,4,3,1,140,0,0,0,58
18,11,7,1,67,0,0,0,178
8,5,3,2,9,2,0,0,47
44,40,4,4,10,1,0,0.00546448087431694,183
12,6,6,2,41,0,0,0,158
16,10,6,1,67,0,0,0,78
0,0,0,1,48,1,0,0,88
19,9,10,1,72,0,0,0,64
83,37,46,2,72,0,0,0,106
67,20,47,1,72,0,0,0,49
39,16,23,2,72,0,0,0,76
2,1,1,1,69,1,0,0,49
6,5,1,1,72,0,0,0,25
0,0,0,1,23,0,0,0,75
31,22,9,5,41,1,0,0,135
4,2,2,1,126,0,0,0,12
24,13,11,2,41,0,0,0,127
2,0,2,1,72,0,0,0,4754
20,10,10,1,67,0,0,0,62
51,50,1,2,41,0,0,0.00617283950617284,162
6722,3361,3361,2,25,0,0,0,3170
20,10,10,1,67,0,0,0,91
33,21,12,3,13,0,0,0,417
23,12,11,2,41,0,0,0,628
154,144,10,3,67,0,0,0,134
1,1,0,1,41,0,0,0,56
48,24,24,2,9,2,0,0,362
2,2,0,2,41,0,0,0.00714285714285714,140
23,12,11,2,41,0,0,0,1024
33,17,16,3,41,0,0,0,649
223,148,75,4,67,2,0,0,351
22,11,11,2,41,0,0,0,209
6,3,3,2,47,1,0,0,177
3,2,1,1,41,0,0,0,66
6,2,4,1,72,0,0,0,947
20,10,10,1,67,0,0,0,50
5,3,2,1,41,0,0,0,12
81,51,30,6,67,1,0,0.00131926121372032,758
2,1,1,1,72,0,0,0,128
28,14,14,1,72,0,0,0,942
12,6,6,1,72,0,0,0,893
4,2,2,1,72,0,0,0,99
2,1,1,1,72,0,0,0,298
6,3,3,1,72,0,0,0,697
18,9,9,1,67,0,0,0,325
18,9,9,1,67,0,0,0,68
18,9,9,1,67,0,0,0,76
35,24,11,2,67,0,0,0,262
20,10,10,1,67,0,0,0,195
20,10,10,1,67,0,0,0,100
43,31,12,4,41,1,0,0,492
32,23,9,2,67,1,0,0,1124
93,70,23,4,41,1,0,0.00227272727272727,440
28,14,14,3,67,0,0,0,116
32,17,15,3,67,0,0,0.00436681222707424,458
43,18,25,3,67,1,0,0,159
67,37,30,5,10,2,0,0,236
30,19,11,2,67,0,0,0,363
20,10,10,1,67,0,0,0,167
20,10,10,1,67,0,0,0,307
20,10,10,1,67,0,0,0,111
116,82,34,9,41,0,0,0,601
990,580,410,29,10,12,0,0.0017636684303351,2835
42,23,19,7,17,1,0,0,444
